Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,7.0345e-14,1,1.3255e+13,0.79883,0.62426,0.62719,2.94e-14,-13,0.25,0.79883,1.4216e+13,1,-3.0272e-15,0,9.6039e+11,0.79883,0.37574,0.37281,1,0.27,0.27,0,0
100,7.142e-14,1,1.3012e+13,0.79179,0.6185,0.62134,2.94e-14,-13,0.25,0.79179,1.4002e+13,1,-1.2109e-14,0,9.901e+11,0.79179,0.3815,0.37866,1,0.28,0.28,0,0
100,7.2484e-14,1,1.2777e+13,0.78465,0.61289,0.61566,2.94e-14,-13,0.25,0.78465,1.3796e+13,1,-5.2941e-13,0,1.0194e+12,0.78465,0.38711,0.38434,1,0.29,0.29,0,0
100,7.3537e-14,1,1.255e+13,0.7774,0.60744,0.61013,2.94e-14,-13,0.25,0.7774,1.3599e+13,1,1.2109e-14,0,1.0483e+12,0.7774,0.39256,0.38987,1,0.3,0.3,0,0
100,7.4579e-14,1,1.2332e+13,0.77005,0.60212,0.60475,2.94e-14,-13,0.25,0.77005,1.3409e+13,1,-2.6159e-13,0,1.0769e+12,0.77005,0.39788,0.39525,1,0.31,0.31,0,0
100,7.5611e-14,1,1.212e+13,0.76259,0.59694,0.5995,2.94e-14,-13,0.25,0.76259,1.3226e+13,1,-7.6789e-13,0,1.1051e+12,0.76259,0.40306,0.4005,1,0.32,0.32,0,0
100,7.6634e-14,1,1.1916e+13,0.75503,0.59189,0.59438,2.94e-14,-13,0.25,0.75503,1.3049e+13,1,2.6661e-13,0,1.133e+12,0.75503,0.40811,0.40562,1,0.33,0.33,0,0
100,7.7648e-14,1,1.1718e+13,0.74736,0.58695,0.58939,2.94e-14,-13,0.25,0.74736,1.2879e+13,1,-1.2436e-12,0,1.1606e+12,0.74736,0.41305,0.41061,1,0.34,0.34,0,0
100,7.8654e-14,1,1.1526e+13,0.7396,0.58212,0.58451,2.94e-14,-13,0.25,0.7396,1.2714e+13,1,2.4184e-13,0,1.1879e+12,0.7396,0.41788,0.41549,1,0.35,0.35,0,0
100,7.9651e-14,1,1.134e+13,0.73173,0.5774,0.57973,2.94e-14,-13,0.25,0.73173,1.2555e+13,1,-9.7903e-13,0,1.2149e+12,0.73173,0.4226,0.42027,1,0.36,0.36,0,0
