Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,3.7847e-14,1,2.6324e+13,6.7205,0.87972,0.88188,2.94e-14,-13,0.25,6.7205,2.6422e+13,1,8.2264e-12,0,9.841e+10,6.7205,0.12028,0.11812,1,0.27,0.27,0,0
100,3.8209e-14,1,2.6066e+13,6.6188,0.87542,0.87757,2.94e-14,-13,0.25,6.6188,2.6172e+13,1,-1.2109e-14,0,1.0559e+11,6.6188,0.12458,0.12243,1,0.28,0.28,0,0
100,3.8575e-14,1,2.5811e+13,6.517,0.87111,0.87326,2.94e-14,-13,0.25,6.517,2.5924e+13,1,-1.614e-11,0,1.1301e+11,6.517,0.12889,0.12674,1,0.29,0.29,0,0
100,3.8946e-14,1,2.5556e+13,6.4151,0.8668,0.86896,2.94e-14,-13,0.25,6.4151,2.5677e+13,1,1.6007e-11,0,1.2069e+11,6.4151,0.1332,0.13104,1,0.3,0.3,0,0
100,3.9321e-14,1,2.5303e+13,6.3133,0.8625,0.86465,2.94e-14,-13,0.25,6.3133,2.5432e+13,1,3.9607e-12,0,1.2861e+11,6.3133,0.1375,0.13535,1,0.31,0.31,0,0
100,3.9702e-14,1,2.5051e+13,6.2114,0.8582,0.86035,2.94e-14,-13,0.25,6.2114,2.5188e+13,1,-3.9168e-12,0,1.3679e+11,6.2114,0.1418,0.13965,1,0.32,0.32,0,0
100,4.0087e-14,1,2.48e+13,6.1095,0.85389,0.85604,2.94e-14,-13,0.25,6.1095,2.4946e+13,1,-3.873e-12,0,1.4522e+11,6.1095,0.14611,0.14396,1,0.33,0.33,0,0
100,4.0478e-14,1,2.4551e+13,6.0076,0.84958,0.85174,2.94e-14,-13,0.25,6.0076,2.4705e+13,1,-1.5379e-11,0,1.5391e+11,6.0076,0.15042,0.14826,1,0.34,0.34,0,0
100,4.0874e-14,1,2.4302e+13,5.9056,0.84527,0.84743,2.94e-14,-13,0.25,5.9056,2.4465e+13,1,-1.9058e-11,0,1.6286e+11,5.9056,0.15473,0.15257,1,0.35,0.35,0,0
100,4.1277e-14,1,2.4055e+13,5.8036,0.84096,0.84311,2.94e-14,-13,0.25,5.8036,2.4227e+13,1,3.7734e-12,0,1.7207e+11,5.8036,0.15904,0.15689,1,0.36,0.36,0,0
