fg_alg,muApp_alg
0.0034642032332563508, 1.6051364365971108
0.015011547344110854, 5.417335473515249
0.04041570438799076, 11.436597110754414
0.06351039260969976, 16.853932584269664
0.09006928406466512, 21.869983948635635
0.12009237875288684, 27.8892455858748
0.1558891454965358, 34.1091492776886
0.20207852193995382, 42.736757624398074
0.26212471131639725, 53.170144462279296
0.31755196304849886, 62.19903691813804
0.36374133949191684, 69.62279293739968
0.40762124711316394, 76.64526484751204
0.45842956120092376, 84.26966292134831
0.5092378752886836, 91.29213483146067
0.5554272517321016, 97.51203852327448
0.5981524249422633, 102.72873194221509
0.640877598152425, 107.54414125200643
0.6963048498845266, 113.1621187800963
0.7413394919168591, 115.77046548956662
0.76905311778291, 116.17174959871589
0.7944572748267898, 116.17174959871589
0.8198614318706697, 113.36276083467095
0.8429561200923787, 110.55377207062601
0.859122401847575, 104.53451043338684
0.8752886836027713, 97.91332263242376
0.8903002309468822, 91.89406099518459
0.8983833718244804, 89.08507223113965
0.9122401847575058, 81.86195826645265
0.9295612009237875, 71.02728731942216
0.9491916859122401, 59.59069020866774
0.9653579676674364, 49.959871589085076
0.9861431870669746, 36.115569823434996
0.9919168591224018, 31.09951845906902
0.9965357967667436, 26.08346709470305
1, 19.462279293739968
1.0011547344110854, 10.63402889245586
