"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14855,0.83528,1e-12,0.042814,0.67748,0.2797,1.4111e-05,0,0,2.096e-06,0,0,1.1787e-05,0,0,2.2823e-07,0,0,0.25,0.00092669,0.52107,0.050457,81695,1,0.09175,0.09175,0.005,0.005
0.14854,0.83527,1e-12,0.04261,0.67759,0.2798,1.4111e-05,0,0,2.096e-06,0,0,1.1787e-05,0,0,2.2841e-07,0,0,0.25,0.00092696,0.52127,0.050513,81612,1,0.09542,0.09542,0.005,0.005
0.14851,0.83529,1e-12,0.042504,0.67765,0.27985,1.4111e-05,0,0,2.0957e-06,0,0,1.1787e-05,0,0,2.2851e-07,0,0,0.25,0.00092697,0.52137,0.050541,81529,1,0.09909,0.09909,0.005,0.005
0.14848,0.83532,1e-12,0.04245,0.67768,0.27987,1.4111e-05,0,0,2.0952e-06,0,0,1.1787e-05,0,0,2.2856e-07,0,0,0.25,0.00092682,0.52142,0.050554,81446,1,0.10276,0.10276,0.005,0.005
0.14842,0.83538,1e-12,0.042419,0.6777,0.27989,1.4111e-05,0,0,2.0944e-06,0,0,1.1788e-05,0,0,2.2859e-07,0,0,0.25,0.00092649,0.52146,0.05056,81363,1,0.10643,0.10643,0.005,0.005
0.14836,0.83544,1e-12,0.042399,0.67771,0.27989,1.4111e-05,0,0,2.0936e-06,0,0,1.1789e-05,0,0,2.2861e-07,0,0,0.25,0.00092609,0.52148,0.050563,81280,1,0.1101,0.1101,0.005,0.005
0.1483,0.83549,1e-12,0.042384,0.67772,0.27989,1.4111e-05,0,0,2.0927e-06,0,0,1.179e-05,0,0,2.2862e-07,0,0,0.25,0.00092569,0.52151,0.050565,81197,1,0.11377,0.11377,0.005,0.005
0.14825,0.83555,1e-12,0.042372,0.67773,0.27989,1.4111e-05,0,0,2.0919e-06,0,0,1.179e-05,0,0,2.2863e-07,0,0,0.25,0.0009253,0.52153,0.050566,81114,1,0.11744,0.11744,0.005,0.005
0.14819,0.83561,1e-12,0.042362,0.67774,0.2799,1.4111e-05,0,0,2.0912e-06,0,0,1.1791e-05,0,0,2.2864e-07,0,0,0.25,0.00092494,0.52154,0.050566,81031,1,0.12111,0.12111,0.005,0.005
0.14814,0.83565,1e-12,0.042353,0.67775,0.2799,1.4111e-05,0,0,2.0905e-06,0,0,1.1792e-05,0,0,2.2865e-07,0,0,0.25,0.00092461,0.52156,0.050567,80948,1,0.12478,0.12478,0.005,0.005
0.1481,0.83569,1e-12,0.042345,0.67776,0.2799,1.4111e-05,0,0,2.0899e-06,0,0,1.1792e-05,0,0,2.2866e-07,0,0,0.25,0.00092433,0.52157,0.050567,80865,1,0.12845,0.12845,0.005,0.005
0.14807,0.83573,1e-12,0.042339,0.67776,0.2799,1.4111e-05,0,0,2.0894e-06,0,0,1.1793e-05,0,0,2.2867e-07,0,0,0.25,0.00092408,0.52158,0.050567,80782,1,0.13212,0.13212,0.005,0.005
0.14803,0.83576,1e-12,0.042333,0.67777,0.2799,1.4111e-05,0,0,2.0889e-06,0,0,1.1793e-05,0,0,2.2867e-07,0,0,0.25,0.00092386,0.52159,0.050567,80699,1,0.13579,0.13579,0.005,0.005
0.148,0.83579,1e-12,0.042328,0.67777,0.2799,1.4111e-05,0,0,2.0885e-06,0,0,1.1794e-05,0,0,2.2868e-07,0,0,0.25,0.00092365,0.5216,0.050567,80616,1,0.13946,0.13946,0.005,0.005
0.14797,0.83582,1e-12,0.042323,0.67778,0.2799,1.4111e-05,0,0,2.0881e-06,0,0,1.1794e-05,0,0,2.2868e-07,0,0,0.25,0.00092346,0.52161,0.050568,80533,1,0.14313,0.14313,0.005,0.005
0.14795,0.83584,1e-12,0.042318,0.67778,0.2799,1.4111e-05,0,0,2.0877e-06,0,0,1.1795e-05,0,0,2.2868e-07,0,0,0.25,0.00092329,0.52162,0.050568,80450,1,0.1468,0.1468,0.005,0.005
0.14793,0.83587,1e-12,0.042314,0.67779,0.2799,1.4111e-05,0,0,2.0874e-06,0,0,1.1795e-05,0,0,2.2869e-07,0,0,0.25,0.00092313,0.52162,0.050568,80367,1,0.15047,0.15047,0.005,0.005
0.1479,0.83589,1e-12,0.04231,0.67779,0.2799,1.4111e-05,0,0,2.0871e-06,0,0,1.1795e-05,0,0,2.2869e-07,0,0,0.25,0.00092297,0.52163,0.050568,80284,1,0.15414,0.15414,0.005,0.005
0.14788,0.83591,1e-12,0.042307,0.67779,0.2799,1.4111e-05,0,0,2.0868e-06,0,0,1.1796e-05,0,0,2.2869e-07,0,0,0.25,0.00092283,0.52163,0.050568,80201,1,0.15781,0.15781,0.005,0.005
0.14786,0.83593,1e-12,0.042304,0.6778,0.2799,1.4111e-05,0,0,2.0865e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.0009227,0.52164,0.050568,80118,1,0.16148,0.16148,0.005,0.005
0.14785,0.83594,1e-12,0.042302,0.6778,0.2799,1.4111e-05,0,0,2.0863e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092261,0.52164,0.050568,80035,1,0.16515,0.16515,0.005,0.005
0.14784,0.83595,1e-12,0.0423,0.6778,0.2799,1.4111e-05,0,0,2.0862e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092254,0.52165,0.050568,79952,1,0.16882,0.16882,0.005,0.005
0.14783,0.83596,1e-12,0.042299,0.6778,0.2799,1.4111e-05,0,0,2.0861e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092249,0.52165,0.050568,79869,1,0.17249,0.17249,0.005,0.005
0.14783,0.83596,1e-12,0.042299,0.6778,0.2799,1.4111e-05,0,0,2.086e-06,0,0,1.1796e-05,0,0,2.287e-07,0,0,0.25,0.00092247,0.52165,0.050568,79786,1,0.17616,0.17616,0.005,0.005
