TimeStep,CellID,qw,qo
143625,1224,2.44309,1.55691
143650,1224,2.44373,1.55627
143675,1224,2.44438,1.55562
143700,1224,2.44502,1.55498
143725,1224,2.44566,1.55434
143750,1224,2.4463,1.5537
143775,1224,2.44694,1.55306
143800,1224,2.44758,1.55242
143825,1224,2.44822,1.55178
143850,1224,2.44886,1.55114
143875,1224,2.4495,1.5505
143900,1224,2.45013,1.54987
143925,1224,2.45077,1.54923
143950,1224,2.45141,1.54859
143975,1224,2.45204,1.54796
144000,1224,2.45268,1.54732
144025,1224,2.45331,1.54669
144050,1224,2.45395,1.54605
144075,1224,2.45458,1.54542
144100,1224,2.45522,1.54478
144125,1224,2.45585,1.54415
144150,1224,2.45648,1.54352
144175,1224,2.45711,1.54289
144200,1224,2.45775,1.54225
144225,1224,2.45838,1.54162
144250,1224,2.45901,1.54099
144275,1224,2.45964,1.54036
144300,1224,2.46027,1.53973
144325,1224,2.4609,1.5391
144350,1224,2.46152,1.53848
144375,1224,2.46215,1.53785
144400,1224,2.46278,1.53722
144425,1224,2.46341,1.53659
144450,1224,2.46403,1.53597
144475,1224,2.46466,1.53534
144500,1224,2.46529,1.53471
144525,1224,2.46591,1.53409
144550,1224,2.46654,1.53346
144575,1224,2.46716,1.53284
144600,1224,2.46778,1.53222
144625,1224,2.46841,1.53159
144650,1224,2.46903,1.53097
144675,1224,2.46965,1.53035
144700,1224,2.47027,1.52973
144725,1224,2.47089,1.52911
144750,1224,2.47152,1.52848
144775,1224,2.47214,1.52786
144800,1224,2.47276,1.52724
144825,1224,2.47337,1.52663
144850,1224,2.47399,1.52601
144875,1224,2.47461,1.52539
144900,1224,2.47523,1.52477
144925,1224,2.47585,1.52415
144950,1224,2.47646,1.52354
144975,1224,2.47708,1.52292
145000,1224,2.4777,1.5223
145025,1224,2.47831,1.52169
145050,1224,2.47893,1.52107
145075,1224,2.47954,1.52046
145100,1224,2.48016,1.51984
145125,1224,2.48077,1.51923
145150,1224,2.48138,1.51862
145175,1224,2.482,1.518
145200,1224,2.48261,1.51739
145225,1224,2.48322,1.51678
145250,1224,2.48383,1.51617
145275,1224,2.48444,1.51556
145300,1224,2.48505,1.51495
145325,1224,2.48566,1.51434
145350,1224,2.48627,1.51373
145375,1224,2.48688,1.51312
145400,1224,2.48749,1.51251
145425,1224,2.4881,1.5119
145450,1224,2.4887,1.5113
145475,1224,2.48931,1.51069
145500,1224,2.48992,1.51008
145525,1224,2.49052,1.50948
145550,1224,2.49113,1.50887
145575,1224,2.49173,1.50827
145600,1224,2.49234,1.50766
145625,1224,2.49294,1.50706
145650,1224,2.49355,1.50645
145675,1224,2.49415,1.50585
145700,1224,2.49475,1.50525
145725,1224,2.49536,1.50464
145750,1224,2.49596,1.50404
