Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,0.84055,1.165,0.23707,0.26668,0.26689,0.3,3.2819,3.2819,0.04386,0.043141,0,1,1.1897,1,4.7506e-13,0,0.9507,3.2819,0.68946,0.68997,1,0.027,0.027,0.002,0
0.35,0.84298,1.165,0.23635,0.26628,0.26648,0.3,3.2812,3.2812,0.045293,0.04458,0,1,1.1863,1,-3.1637e-13,0,0.94787,3.2812,0.68843,0.68894,1,0.028,0.028,0.002,0
0.35,0.84539,1.165,0.23563,0.26588,0.26608,0.3,3.2805,3.2805,0.046714,0.046006,0,1,1.1829,1,-4.7243e-13,0,0.94506,3.2805,0.68741,0.68792,1,0.029,0.029,0.002,0
0.35,0.8478,1.165,0.23493,0.26548,0.26568,0.3,3.2798,3.2798,0.048124,0.047422,0,1,1.1795,1,-4.7091e-13,0,0.94229,3.2798,0.6864,0.6869,1,0.03,0.03,0.002,0
0.35,0.85019,1.165,0.23423,0.26508,0.26528,0.3,3.2791,3.2791,0.049524,0.048827,0,1,1.1762,1,-4.6952e-13,0,0.93954,3.2791,0.6854,0.6859,1,0.031,0.031,0.002,0
0.35,0.85256,1.165,0.23353,0.26469,0.26488,0.3,3.2784,3.2784,0.050912,0.05022,0,1,1.1729,1,-9.3585e-13,0,0.93681,3.2784,0.6844,0.6849,1,0.032,0.032,0.002,0
0.35,0.85493,1.165,0.23284,0.2643,0.26449,0.3,3.2777,3.2777,0.05229,0.051604,0,1,1.1697,1,1.5646e-13,0,0.93411,3.2777,0.68341,0.68391,1,0.033,0.033,0.002,0
0.35,0.85729,1.165,0.23216,0.26391,0.2641,0.3,3.2769,3.2769,0.053657,0.052976,0,1,1.1665,1,1.5601e-13,0,0.93143,3.2769,0.68243,0.68292,1,0.034,0.034,0.002,0
0.35,0.85963,1.165,0.23148,0.26352,0.26371,0.3,3.2762,3.2762,0.055015,0.054339,0,1,1.1633,1,-1.5382e-13,0,0.92878,3.2762,0.68146,0.68195,1,0.035,0.035,0.002,0
0.35,0.86196,1.165,0.23081,0.26314,0.26333,0.3,3.2755,3.2755,0.056362,0.055691,0,1,1.1601,1,8.6736e-16,0,0.92615,3.2755,0.6805,0.68098,1,0.036,0.036,0.002,0
