Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,0.99407,0.0576,0.18367,0.23473,0.23486,0.3,354.48,354.48,0.13076,0.1303,-2.0367,1,1.006,1,-5.3706e-13,0,0.8052,354.48,0.63451,0.63485,1,0.104,0.104,0.001,0
0.35,1.0014,0.0576,0.18214,0.23376,0.23388,0.3,354.08,354.08,0.13441,0.13395,-2.0367,1,0.99864,1,4.5529e-13,0,0.79843,354.08,0.63184,0.63217,1,0.108,0.108,0.001,0
0.35,1.0086,0.0576,0.18064,0.23279,0.23291,0.3,353.68,353.68,0.138,0.13755,-2.0367,1,0.99149,1,-9.7964e-13,0,0.79181,353.68,0.62921,0.62953,1,0.112,0.112,0.001,0
0.35,1.0157,0.0576,0.17917,0.23184,0.23196,0.3,353.27,353.27,0.14153,0.14109,-2.0367,1,0.98452,1,2.9839e-13,0,0.78532,353.27,0.62663,0.62695,1,0.116,0.116,0.001,0
0.35,1.0228,0.0576,0.17772,0.2309,0.23102,0.3,352.86,352.86,0.14501,0.14458,-2.0367,1,0.97771,1,-3.705e-13,0,0.77896,352.86,0.62408,0.6244,1,0.12,0.12,0.001,0
0.35,1.0298,0.0576,0.1763,0.22998,0.23009,0.3,352.45,352.45,0.14844,0.14801,-2.0367,1,0.97107,1,-7.3331e-13,0,0.77273,352.45,0.62158,0.62189,1,0.124,0.124,0.001,0
0.35,1.0367,0.0576,0.1749,0.22906,0.22918,0.3,352.04,352.04,0.15181,0.1514,-2.0367,1,0.96457,1,3.6634e-13,0,0.76663,352.04,0.61912,0.61943,1,0.128,0.128,0.001,0
0.35,1.0436,0.0576,0.17352,0.22816,0.22827,0.3,351.62,351.62,0.15514,0.15473,-2.0367,1,0.95823,1,1.0887e-12,0,0.76064,351.62,0.6167,0.617,1,0.132,0.132,0.001,0
0.35,1.0504,0.0576,0.17216,0.22726,0.22737,0.3,351.2,351.2,0.15843,0.15802,-2.0367,1,0.95202,1,2.8887e-13,0,0.75476,351.2,0.61431,0.61461,1,0.136,0.136,0.001,0
0.35,1.0571,0.0576,0.17082,0.22638,0.22649,0.3,350.77,350.77,0.16166,0.16126,-2.0367,1,0.94595,1,2.8839e-13,0,0.74899,350.77,0.61196,0.61225,1,0.14,0.14,0.001,0
0.35,1.0638,0.0576,0.1695,0.2255,0.22561,0.3,350.34,350.34,0.16486,0.16446,-2.0367,1,0.94001,1,-3.517e-13,0,0.74333,350.34,0.60964,0.60993,1,0.144,0.144,0.001,0
0.35,1.0704,0.0576,0.1682,0.22463,0.22474,0.3,349.91,349.91,0.16801,0.16762,-2.0367,1,0.93419,1,9.8299e-13,0,0.73776,349.91,0.60736,0.60764,1,0.148,0.148,0.001,0
0.35,1.077,0.0576,0.16692,0.22377,0.22388,0.3,349.48,349.48,0.17113,0.17074,-2.0367,1,0.92849,1,-6.2576e-13,0,0.73229,349.48,0.6051,0.60538,1,0.152,0.152,0.001,0
0.35,1.0835,0.0576,0.16565,0.22292,0.22303,0.3,349.04,349.04,0.1742,0.17382,-2.0367,1,0.92291,1,5.5373e-13,0,0.72692,349.04,0.60287,0.60315,1,0.156,0.156,0.001,0
