"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99937,0.00062469,1e-12,0.64,0.26,0.1,1.4111e-05,0,0,1.4098e-05,0,0,1.3193e-08,0,0,0,0,0,0.25,0.63992,0.04,6.9334e-33,1.6434e+05,1,0,0,0.005,0.005
0.99707,0.00074571,1e-12,0.35141,0.1955,0.45309,1.4111e-05,0,0,1.4073e-05,0,0,1.0602e-08,0,0,2.7371e-08,0,0,0.25,0.19482,0.01428,0.19718,1.6434e+05,1,0.00367,0.00367,0.005,0.005
0.99524,0.00094685,1e-12,0.29906,0.19168,0.50926,1.4111e-05,0,0,1.4046e-05,0,0,1.3391e-08,0,0,5.1772e-08,0,0,0.25,0.14024,0.013133,0.26217,1.6433e+05,1,0.00734,0.00734,0.005,0.005
0.99348,0.0012428,1e-12,0.2691,0.19466,0.53624,1.4111e-05,0,0,1.402e-05,0,0,1.7445e-08,0,0,7.3229e-08,0,0,0.25,0.11338,0.014009,0.2975,1.6433e+05,1,0.01101,0.01101,0.005,0.005
0.99176,0.0015831,1e-12,0.24811,0.1988,0.55309,1.4111e-05,0,0,1.3996e-05,0,0,2.2143e-08,0,0,9.3038e-08,0,0,0.25,0.096311,0.015257,0.32084,1.6432e+05,1,0.01468,0.01468,0.005,0.005
0.9901,0.0019163,1e-12,0.23239,0.20202,0.56559,1.4111e-05,0,0,1.3972e-05,0,0,2.6865e-08,0,0,1.119e-07,0,0,0.25,0.084458,0.016265,0.33876,1.6432e+05,1,0.01835,0.01835,0.005,0.005
0.9885,0.0022384,1e-12,0.22002,0.20454,0.57543,1.4111e-05,0,0,1.395e-05,0,0,3.1436e-08,0,0,1.3003e-07,0,0,0.25,0.075689,0.017079,0.35321,1.6431e+05,1,0.02202,0.02202,0.005,0.005
0.98696,0.0025498,1e-12,0.20994,0.20659,0.58347,1.4111e-05,0,0,1.3928e-05,0,0,3.5853e-08,0,0,1.4752e-07,0,0,0.25,0.0689,0.017754,0.36524,1.643e+05,1,0.02569,0.02569,0.005,0.005
0.98546,0.0028518,1e-12,0.20149,0.2083,0.5902,1.4111e-05,0,0,1.3906e-05,0,0,4.0133e-08,0,0,1.6443e-07,0,0,0.25,0.063461,0.018328,0.37548,1.643e+05,1,0.02936,0.02936,0.005,0.005
0.98401,0.0031456,1e-12,0.19427,0.20977,0.59597,1.4111e-05,0,0,1.3886e-05,0,0,4.4292e-08,0,0,1.8085e-07,0,0,0.25,0.058987,0.018826,0.38436,1.6429e+05,1,0.03303,0.03303,0.005,0.005
