"K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.5782e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.156,0.025,0.156,0.05
2.5692e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.159,0.025,0.159,0.05
2.5602e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.162,0.025,0.162,0.05
2.5512e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.165,0.025,0.165,0.05
2.5422e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.168,0.025,0.168,0.05
2.5332e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.171,0.025,0.171,0.05
2.5242e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.174,0.025,0.174,0.05
2.5152e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.177,0.025,0.177,0.05
2.5062e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.18,0.025,0.18,0.05
2.4972e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.183,0.025,0.183,0.05
2.4882e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.186,0.025,0.186,0.05
2.4792e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.189,0.025,0.189,0.05
2.4702e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.192,0.025,0.192,0.05
2.4612e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.195,0.025,0.195,0.05
2.4522e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.198,0.025,0.198,0.05
2.4469e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.201,0.025,0.201,0.05
2.4491e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.204,0.025,0.204,0.05
2.4513e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.207,0.025,0.207,0.05
