"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
1.4111e-05,2.4479e-21,0,0.19313,0.24053,0.19562,0.23433,0.56634,0.57005,1e-05,0.00010963,9039.9,13.552,9121.4,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.01835,0.01,0
1.4111e-05,2.4479e-21,0,0.19811,0.22812,0.19562,0.23433,0.57377,0.57005,1e-05,0.00012171,8131,15.041,8216.2,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.02202,0.01,0
1.4111e-05,-1.7934e-15,0,0.1988,0.22697,0.2006,0.22191,0.57423,0.57748,1e-05,0.00012293,8049.2,15.252,8134.7,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02202,0,0
1.4111e-05,-1.7934e-15,0,0.20241,0.21686,0.2006,0.22191,0.58073,0.57748,1e-05,0.00013447,7348.1,16.386,7436.7,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02569,0,0
1.4111e-05,3.5868e-16,0,0.1988,0.22697,0.2006,0.22191,0.57423,0.57748,1e-05,0.00012293,8049.2,15.252,8134.7,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02202,0.01,0
1.4111e-05,3.5868e-16,0,0.20241,0.21686,0.2006,0.22191,0.58073,0.57748,1e-05,0.00013447,7348.1,16.386,7436.7,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02569,0.01,0
1.4111e-05,-4.902e-16,0,0.20289,0.21604,0.20421,0.2118,0.58107,0.58398,1e-05,0.00013547,7292.9,16.54,7381.8,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02569,0,0
1.4111e-05,-4.902e-16,0,0.20554,0.20757,0.20421,0.2118,0.5869,0.58398,1e-05,0.00014656,6731.8,17.403,6823.3,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02936,0,0
1.4111e-05,4.902e-16,0,0.20289,0.21604,0.20421,0.2118,0.58107,0.58398,1e-05,0.00013547,7292.9,16.54,7381.8,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02569,0.01,0
1.4111e-05,4.902e-16,0,0.20554,0.20757,0.20421,0.2118,0.5869,0.58398,1e-05,0.00014656,6731.8,17.403,6823.3,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02936,0.01,0
1.4111e-05,1.2049e-15,0,0.20586,0.20696,0.20686,0.20333,0.58718,0.58981,1e-05,0.0001474,6692.5,17.51,6784.1,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02936,0,0
1.4111e-05,1.2049e-15,0,0.20786,0.19969,0.20686,0.20333,0.59245,0.58981,1e-05,0.00015811,6230.9,18.178,6324.9,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.03303,0,0
1.4111e-05,-6.0243e-16,0,0.20586,0.20696,0.20686,0.20333,0.58718,0.58981,1e-05,0.0001474,6692.5,17.51,6784.1,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.02936,0.01,0
1.4111e-05,-6.0243e-16,0,0.20786,0.19969,0.20686,0.20333,0.59245,0.58981,1e-05,0.00015811,6230.9,18.178,6324.9,1.165,5.112e+05,5.112e+05,-12,0.25,5.112e+05,0.03303,0.01,0
1.4111e-05,1.4006e-16,0,0.20808,0.19923,0.20886,0.19606,0.5927,0.59508,1e-05,0.00015883,6201.8,18.251,6295.9,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.03303,0,0
1.4111e-05,1.4006e-16,0,0.20964,0.1929,0.20886,0.19606,0.59746,0.59508,1e-05,0.0001692,5814.1,18.783,5910.2,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.0367,0,0
1.4111e-05,1.4006e-15,0,0.20808,0.19923,0.20886,0.19606,0.5927,0.59508,1e-05,0.00015883,6201.8,18.251,6295.9,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.03303,0.01,0
1.4111e-05,1.4006e-15,0,0.20964,0.1929,0.20886,0.19606,0.59746,0.59508,1e-05,0.0001692,5814.1,18.783,5910.2,1.165,5.1119e+05,5.1119e+05,-12,0.25,5.1119e+05,0.0367,0.01,0
