Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50,0.0015873,1.165,92.174,0.024625,0.024674,1.028e-05,76872,76872,0.29522,0.29518,-12,0.25,629.99,1.4111e-05,-2.4478e-21,0,525.91,76872,0.68016,0.68014,1,0.09542,0.09542,0.005,0
50,0.0015891,1.165,91.449,0.024512,0.024566,1.0266e-05,76799,76799,0.29532,0.29526,-12,0.25,629.31,1.4111e-05,5.1584e-18,0,525.93,76799,0.68017,0.68017,1,0.09909,0.09909,0.005,0
50,0.0015911,1.165,90.63,0.024377,0.02444,1.0245e-05,76726,76726,0.29546,0.29539,-12,0.25,628.5,1.4111e-05,-3.0889e-18,0,525.93,76726,0.68017,0.68017,1,0.10276,0.10276,0.005,0
50,0.0015936,1.165,89.681,0.024214,0.024289,1.0215e-05,76653,76653,0.29566,0.29558,-12,0.25,627.5,1.4111e-05,1.0278e-18,0,525.86,76653,0.68013,0.68013,1,0.10643,0.10643,0.005,0
50,0.0015955,1.165,88.62,0.024065,0.024139,1.021e-05,76579,76579,0.29563,0.29562,-12,0.25,626.75,1.4111e-05,4.0953e-18,0,526.17,76579,0.6803,0.68024,1,0.1101,0.1101,0.005,0
50,0.0015953,1.165,87.381,0.023966,0.023966,1.027e-05,76506,76506,0.29496,0.29524,-12,0.25,626.83,1.4111e-05,2.0451e-18,0,527.58,76506,0.68108,0.6808,1,0.11377,0.11377,0.005,0
50,0.0015887,1.165,86.35,0.024357,0.024227,1.0736e-05,76432,76432,0.29241,0.29335,-12,0.25,629.43,1.4111e-05,2.0398e-18,0,531.51,76432,0.68324,0.68242,1,0.11744,0.11744,0.005,0
50,0.0015841,1.165,85.142,0.027813,0.026618,1.4196e-05,76357,76357,0.28692,0.28812,-12,0.25,631.27,1.4111e-05,-4.0183e-18,0,535.21,76357,0.68527,0.68527,1,0.12111,0.12111,0.005,0
50,0.0016123,1.165,82.324,0.038961,0.037419,2.881e-05,76282,76282,0.27985,0.2804,-12,0.25,620.22,1.4111e-05,2.4478e-21,0,527.78,76282,0.68119,0.68218,1,0.12478,0.12478,0.005,0
50,0.0016243,1.165,79.628,0.040502,0.040502,3.2189e-05,76206,76206,0.2793,0.2793,-12,0.25,615.67,1.4111e-05,1.9943e-18,0,525.99,76206,0.6802,0.6802,1,0.12845,0.12845,0.005,0
50,0.001625,1.165,77.843,0.03927,0.039552,3.0954e-05,76131,76131,0.27973,0.27969,-12,0.25,615.37,1.4111e-05,4.8957e-21,0,527.44,76131,0.681,0.68076,1,0.13212,0.13212,0.005,0
50,0.001625,1.165,77.384,0.038977,0.038987,3.0676e-05,76055,76055,0.27977,0.27978,-12,0.25,615.38,1.4111e-05,9.9837e-19,0,527.89,76055,0.68125,0.68124,1,0.13579,0.13579,0.005,0
