Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.44,0.82696,1.165,0.24116,0.26897,0.26914,0.3,2.4698,2.4698,0.03575,0.035151,0,1,1.2093,1,6.4414e-13,0,0.96682,2.4698,0.69528,0.69571,1,0.027,0.027,0.002,0
0.44,0.82894,1.165,0.24055,0.26864,0.2688,0.3,2.4691,2.4691,0.036944,0.036349,0,1,1.2064,1,-3.2186e-13,0,0.96444,2.4691,0.69442,0.69485,1,0.028,0.028,0.002,0
0.44,0.83092,1.165,0.23995,0.2683,0.26847,0.3,2.4684,2.4684,0.038129,0.037539,0,1,1.2035,1,6.4095e-13,0,0.96207,2.4684,0.69357,0.69399,1,0.029,0.029,0.002,0
0.44,0.83289,1.165,0.23936,0.26797,0.26814,0.3,2.4677,2.4677,0.039307,0.03872,0,1,1.2006,1,-1.5987e-13,0,0.95973,2.4677,0.69272,0.69314,1,0.03,0.03,0.002,0
0.44,0.83486,1.165,0.23877,0.26764,0.2678,0.3,2.467,2.467,0.040477,0.039894,0,1,1.1978,1,0,0,0.9574,2.467,0.69188,0.6923,1,0.031,0.031,0.002,0
0.44,0.83681,1.165,0.23818,0.26731,0.26747,0.3,2.4663,2.4663,0.04164,0.04106,0,1,1.195,1,-1.1132e-12,0,0.9551,2.4663,0.69105,0.69146,1,0.032,0.032,0.002,0
0.44,0.83876,1.165,0.2376,0.26698,0.26715,0.3,2.4656,2.4656,0.042795,0.042219,0,1,1.1922,1,1.5957e-13,0,0.95281,2.4656,0.69022,0.69063,1,0.033,0.033,0.002,0
0.44,0.84069,1.165,0.23703,0.26666,0.26682,0.3,2.4649,2.4649,0.043942,0.04337,0,1,1.1895,1,8.6736e-16,0,0.95054,2.4649,0.6894,0.68981,1,0.034,0.034,0.002,0
0.44,0.84262,1.165,0.23645,0.26634,0.2665,0.3,2.4642,2.4642,0.045083,0.044514,0,1,1.1868,1,7.9058e-13,0,0.94828,2.4642,0.68858,0.68899,1,0.035,0.035,0.002,0
0.44,0.84455,1.165,0.23588,0.26602,0.26618,0.3,2.4635,2.4635,0.046216,0.045651,0,1,1.1841,1,-3.1426e-13,0,0.94605,2.4635,0.68777,0.68817,1,0.036,0.036,0.002,0
0.44,0.84646,1.165,0.23532,0.2657,0.26586,0.3,2.4628,2.4628,0.047341,0.04678,0,1,1.1814,1,2.1684e-16,0,0.94383,2.4628,0.68696,0.68736,1,0.037,0.037,0.002,0
0.44,0.84837,1.165,0.23476,0.26538,0.26554,0.3,2.4621,2.4621,0.04846,0.047903,0,1,1.1787,1,4.7068e-13,0,0.94163,2.4621,0.68616,0.68656,1,0.038,0.038,0.002,0
0.44,0.85027,1.165,0.2342,0.26507,0.26522,0.3,2.4614,2.4614,0.049572,0.049018,0,1,1.1761,1,1.5667e-13,0,0.93944,2.4614,0.68536,0.68576,1,0.039,0.039,0.002,0
0.44,0.85216,1.165,0.23365,0.26475,0.26491,0.3,2.4607,2.4607,0.050678,0.050127,0,1,1.1735,1,-2.1684e-16,0,0.93727,2.4607,0.68457,0.68496,1,0.04,0.04,0.002,0
0.44,0.85405,1.165,0.2331,0.26444,0.2646,0.3,2.4599,2.4599,0.051776,0.051229,0,1,1.1709,1,-4.6739e-13,0,0.93512,2.4599,0.68378,0.68417,1,0.041,0.041,0.002,0
0.44,0.85593,1.165,0.23255,0.26413,0.26429,0.3,2.4592,2.4592,0.052868,0.052324,0,1,1.1683,1,1.0886e-12,0,0.93298,2.4592,0.683,0.68339,1,0.042,0.042,0.002,0
0.44,0.8578,1.165,0.23201,0.26382,0.26398,0.3,2.4585,2.4585,0.053954,0.053412,0,1,1.1658,1,-3.1023e-13,0,0.93085,2.4585,0.68222,0.68261,1,0.043,0.043,0.002,0
0.44,0.85966,1.165,0.23147,0.26352,0.26367,0.3,2.4578,2.4578,0.055033,0.054495,0,1,1.1632,1,-1.5595e-13,0,0.92875,2.4578,0.68145,0.68183,1,0.044,0.044,0.002,0
0.44,0.86152,1.165,0.23094,0.26321,0.26337,0.3,2.4571,2.4571,0.056105,0.05557,0,1,1.1607,1,-6.1719e-13,0,0.92665,2.4571,0.68068,0.68106,1,0.045,0.045,0.002,0
0.44,0.86337,1.165,0.23041,0.26291,0.26306,0.3,2.4564,2.4564,0.057172,0.05664,0,1,1.1583,1,-4.6141e-13,0,0.92458,2.4564,0.67992,0.6803,1,0.046,0.046,0.002,0
0.44,0.86521,1.165,0.22988,0.26261,0.26276,0.3,2.4556,2.4556,0.058232,0.057703,0,1,1.1558,1,6.144e-13,0,0.92251,2.4556,0.67916,0.67954,1,0.047,0.047,0.002,0
0.44,0.86705,1.165,0.22935,0.26231,0.26246,0.3,2.4549,2.4549,0.059286,0.058761,0,1,1.1533,1,3.0694e-13,0,0.92047,2.4549,0.6784,0.67878,1,0.048,0.048,0.002,0
0.44,0.86888,1.165,0.22883,0.26201,0.26216,0.3,2.4542,2.4542,0.060334,0.059812,0,1,1.1509,1,3.0582e-13,0,0.91843,2.4542,0.67765,0.67803,1,0.049,0.049,0.002,0
0.44,0.87071,1.165,0.22832,0.26171,0.26186,0.3,2.4535,2.4535,0.061377,0.060857,0,1,1.1485,1,-3.047e-13,0,0.91641,2.4535,0.67691,0.67728,1,0.05,0.05,0.002,0
0.44,0.87252,1.165,0.2278,0.26142,0.26157,0.3,2.4527,2.4527,0.062413,0.061896,0,1,1.1461,1,7.6115e-13,0,0.9144,2.4527,0.67617,0.67654,1,0.051,0.051,0.002,0
0.44,0.87434,1.165,0.22729,0.26113,0.26127,0.3,2.452,2.452,0.063444,0.06293,0,1,1.1437,1,1.5233e-13,0,0.91241,2.452,0.67543,0.6758,1,0.052,0.052,0.002,0
0.44,0.87614,1.165,0.22678,0.26083,0.26098,0.3,2.4513,2.4513,0.064469,0.063958,0,1,1.1414,1,-1.5134e-13,0,0.91043,2.4513,0.6747,0.67506,1,0.053,0.053,0.002,0
0.44,0.87794,1.165,0.22628,0.26054,0.26069,0.3,2.4505,2.4505,0.065488,0.06498,0,1,1.139,1,-1.5144e-13,0,0.90847,2.4505,0.67397,0.67433,1,0.054,0.054,0.002,0
0.44,0.87973,1.165,0.22578,0.26025,0.2604,0.3,2.4498,2.4498,0.066502,0.065997,0,1,1.1367,1,-7.5427e-13,0,0.90651,2.4498,0.67324,0.6736,1,0.055,0.055,0.002,0
0.44,0.88152,1.165,0.22528,0.25997,0.26011,0.3,2.4491,2.4491,0.067511,0.067008,0,1,1.1344,1,-4.5193e-13,0,0.90457,2.4491,0.67252,0.67288,1,0.056,0.056,0.002,0
0.44,0.8833,1.165,0.22478,0.25968,0.25982,0.3,2.4483,2.4483,0.068514,0.068014,0,1,1.1321,1,-1.4916e-13,0,0.90264,2.4483,0.67181,0.67216,1,0.057,0.057,0.002,0
0.44,0.88507,1.165,0.22429,0.2594,0.25954,0.3,2.4476,2.4476,0.069511,0.069014,0,1,1.1298,1,-2.1684e-16,0,0.90073,2.4476,0.67109,0.67145,1,0.058,0.058,0.002,0
0.44,0.88684,1.165,0.2238,0.25911,0.25925,0.3,2.4468,2.4468,0.070504,0.070009,0,1,1.1276,1,-1.4938e-13,0,0.89883,2.4468,0.67038,0.67074,1,0.059,0.059,0.002,0
0.44,0.88861,1.165,0.22331,0.25883,0.25897,0.3,2.4461,2.4461,0.071491,0.070999,0,1,1.1254,1,1.4928e-13,0,0.89694,2.4461,0.66968,0.67003,1,0.06,0.06,0.002,0
0.44,0.89036,1.165,0.22283,0.25855,0.25869,0.3,2.4454,2.4454,0.072473,0.071984,0,1,1.1231,1,-2.9749e-13,0,0.89506,2.4454,0.66898,0.66933,1,0.061,0.061,0.002,0
