x, y
0.002352941176470588, 0.007628128724672229
0.028235294117647056, 0.037187127532777114
0.06117647058823529, 0.06769964243146603
0.10235294117647058, 0.10011918951132301
0.1364705882352941, 0.12491060786650775
0.17058823529411762, 0.1468414779499404
0.2164705882352941, 0.17258641239570918
0.2776470588235294, 0.20405244338498213
0.3505882352941176, 0.23742550655542313
0.39764705882352935, 0.25744934445768775
0.4494117647058823, 0.27842669845053636
0.5164705882352941, 0.30607866507747317
0.5905882352941176, 0.3365911799761621
0.6494117647058822, 0.3632896305125149
0.668235294117647, 0.37473182359952323
0.6823529411764705, 0.3880810488676997
0.6917647058823528, 0.40810488676996426
0.6976470588235294, 0.4166865315852205
0.7105882352941176, 0.4233611442193087
0.7352941176470588, 0.42431466030989273
0.7552941176470588, 0.42526817640047676
0.7635294117647058, 0.432896305125149
0.7658823529411765, 0.4548271752085817
0.7705882352941176, 0.5091775923718713
0.7717647058823529, 0.5625744934445769
0.7729411764705881, 0.6464839094159714
0.7729411764705881, 0.6846245530393326
0.7741176470588235, 0.7065554231227652
0.7752941176470588, 0.7208581644815256
0.7776470588235294, 0.7313468414779499
0.788235294117647, 0.735160905840286
0.8458823529411764, 0.735160905840286
0.8870588235294117, 0.7361144219308701
0.8952941176470588, 0.7389749702026222
0.8988235294117646, 0.7466030989272944
0.9023529411764705, 0.7675804529201431
0.9058823529411764, 0.7856972586412396
0.9105882352941176, 0.798092967818832
0.924705882352941, 0.8
0.9823529411764705, 0.8
0.9952941176470588, 0.8
