x, y
0.0022148394241417496, 0.22492401215805471
0.3255813953488372, 0.22370820668693012
0.3421926910299003, 0.22735562310030397
0.3643410852713178, 0.23829787234042554
0.38095238095238093, 0.25653495440729485
0.3953488372093023, 0.28693009118541035
0.4086378737541528, 0.33434650455927056
0.41860465116279066, 0.4012158054711246
0.4318936877076412, 0.4753799392097265
0.4418604651162791, 0.5106382978723405
0.4573643410852713, 0.531306990881459
0.49501661129568103, 0.5373860182370821
1, 0.5373860182370821
