Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
17725,1.6157e-05,-7.0836e-20,0,0.35972,0.53375,0.35976,0.53396,0.10653,0.10628,0.12952,0.22079,3.1703,1.3587,4.5292,1.165,3.0561e+05,3.0561e+05,-11.555,0.22,3.0561e+05,0.024,0,0
17725,1.6157e-05,1.4049e-19,0,0.35979,0.53417,0.35976,0.53396,0.10604,0.10628,0.12952,0.22037,3.1768,1.3609,4.5379,1.165,3.0561e+05,3.0561e+05,-11.555,0.22,3.0561e+05,0.02,0.035449,0
17725,1.6157e-05,1.4049e-19,0,0.35972,0.53375,0.35976,0.53396,0.10653,0.10628,0.12952,0.22079,3.1703,1.3587,4.5292,1.165,3.0561e+05,3.0561e+05,-11.555,0.22,3.0561e+05,0.024,0.035449,0
17725,1.6157e-05,-4.9248e-19,0,0.35972,0.53375,0.35969,0.53354,0.10653,0.10677,0.12947,0.22072,3.1717,1.3587,4.5306,1.165,3.0259e+05,3.0259e+05,-11.555,0.22,3.0259e+05,0.024,0,0
17725,1.6157e-05,-4.9248e-19,0,0.35966,0.53333,0.35969,0.53354,0.10702,0.10677,0.12947,0.22114,3.1652,1.3566,4.522,1.165,3.0259e+05,3.0259e+05,-11.555,0.22,3.0259e+05,0.028,0,0
17725,1.6157e-05,3.5144e-19,0,0.35972,0.53375,0.35969,0.53354,0.10653,0.10677,0.12947,0.22072,3.1717,1.3587,4.5306,1.165,3.0259e+05,3.0259e+05,-11.555,0.22,3.0259e+05,0.024,0.035449,0
17725,1.6157e-05,3.5144e-19,0,0.35966,0.53333,0.35969,0.53354,0.10702,0.10677,0.12947,0.22114,3.1652,1.3566,4.522,1.165,3.0259e+05,3.0259e+05,-11.555,0.22,3.0259e+05,0.028,0.035449,0
17725,1.6157e-05,-2.1064e-19,0,0.35965,0.53333,0.35962,0.53312,0.10702,0.10726,0.12941,0.22108,3.1666,1.3566,4.5233,1.165,2.9957e+05,2.9957e+05,-11.555,0.22,2.9957e+05,0.028,0,0
17725,1.6157e-05,-2.1064e-19,0,0.35959,0.53291,0.35962,0.53312,0.1075,0.10726,0.12941,0.2215,3.1601,1.3544,4.5148,1.165,2.9957e+05,2.9957e+05,-11.555,0.22,2.9957e+05,0.032,0,0
17725,1.6157e-05,2.1064e-19,0,0.35965,0.53333,0.35962,0.53312,0.10702,0.10726,0.12941,0.22108,3.1666,1.3566,4.5233,1.165,2.9957e+05,2.9957e+05,-11.555,0.22,2.9957e+05,0.028,0.035449,0
17725,1.6157e-05,2.1064e-19,0,0.35959,0.53291,0.35962,0.53312,0.1075,0.10726,0.12941,0.2215,3.1601,1.3544,4.5148,1.165,2.9957e+05,2.9957e+05,-11.555,0.22,2.9957e+05,0.032,0.035449,0
17725,1.6157e-05,1.402e-19,0,0.35959,0.53291,0.35955,0.5327,0.1075,0.10775,0.12935,0.22143,3.1615,1.3544,4.5161,1.165,2.9654e+05,2.9654e+05,-11.555,0.22,2.9654e+05,0.032,0,0
17725,1.6157e-05,1.402e-19,0,0.35952,0.53249,0.35955,0.5327,0.10799,0.10775,0.12935,0.22185,3.155,1.3522,4.5076,1.165,2.9654e+05,2.9654e+05,-11.555,0.22,2.9654e+05,0.036,0,0
