Time,"K","Sa","Sb","Sc","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.212,0,0,0.212
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.216,0,0,0.216
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.22,0,0,0.22
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.224,0,0,0.224
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.228,0,0,0.228
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.232,0,0,0.232
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.236,0,0,0.236
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.24,0,0,0.24
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.244,0,0,0.244
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.248,0,0,0.248
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.252,0,0,0.252
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.256,0,0,0.256
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.26,0,0,0.26
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.264,0,0,0.264
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.268,0,0,0.268
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.272,0,0,0.272
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.276,0,0,0.276
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.28,0,0,0.28
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.284,0,0,0.284
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.288,0,0,0.288
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.292,0,0,0.292
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.296,0,0,0.296
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0.3
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.304,0,0,0.304
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.308,0,0,0.308
