So,Sw,Sg,Cs,MRF,xD
0.127326,0.420189,0.452485,0.05,10.0,0.08508508508508508
0.128222,0.419613,0.452164,0.05,10.0,0.08608608608608609
0.129112,0.419042,0.451846,0.05,10.0,0.08708708708708708
0.129996,0.418474,0.45153,0.05,10.0,0.08808808808808809
0.130875,0.417909,0.451216,0.05,10.0,0.0890890890890891
0.131747,0.417348,0.450905,0.05,10.0,0.09009009009009009
0.132613,0.416791,0.450596,0.05,10.0,0.09109109109109108
0.133474,0.416237,0.450289,0.05,10.0,0.0920920920920921
0.134329,0.415686,0.449985,0.05,10.0,0.09309309309309309
0.135179,0.415139,0.449682,0.05,10.0,0.0940940940940941
0.136023,0.414595,0.449382,0.05,10.0,0.09509509509509509
0.136862,0.414054,0.449084,0.05,10.0,0.0960960960960961
0.137695,0.413517,0.448788,0.05,10.0,0.0970970970970971
0.138523,0.412982,0.448494,0.05,10.0,0.0980980980980981
0.139347,0.412451,0.448203,0.05,10.0,0.09909909909909909
0.140165,0.411922,0.447913,0.05,10.0,0.1001001001001001
0.140978,0.411397,0.447625,0.05,10.0,0.1011011011011011
0.141786,0.410875,0.447339,0.05,10.0,0.10210210210210209
0.142589,0.410355,0.447055,0.05,10.0,0.1031031031031031
0.143388,0.409839,0.446774,0.05,10.0,0.1041041041041041
0.144182,0.409325,0.446493,0.05,10.0,0.10510510510510511
0.144971,0.408814,0.446215,0.05,10.0,0.1061061061061061
0.145756,0.408305,0.445939,0.05,10.0,0.1071071071071071
0.146536,0.4078,0.445664,0.05,10.0,0.10810810810810811
0.147311,0.407297,0.445392,0.05,10.0,0.1091091091091091
0.148083,0.406797,0.445121,0.05,10.0,0.1101101101101101
0.14885,0.406299,0.444851,0.05,10.0,0.1111111111111111
0.149612,0.405804,0.444584,0.05,10.0,0.11211211211211211
0.150371,0.405311,0.444318,0.05,10.0,0.1131131131131131
0.151125,0.404821,0.444054,0.05,10.0,0.11411411411411411
0.151875,0.404334,0.443791,0.05,10.0,0.1151151151151151
0.152622,0.403848,0.44353,0.05,10.0,0.11611611611611612
0.153364,0.403366,0.443271,0.05,10.0,0.11711711711711711
0.154102,0.402885,0.443013,0.05,10.0,0.1181181181181181
0.154836,0.402407,0.442757,0.05,10.0,0.11911911911911911
0.155567,0.401931,0.442502,0.05,10.0,0.12012012012012012
0.156294,0.401457,0.442249,0.05,10.0,0.12112112112112111
0.157017,0.400986,0.441997,0.05,10.0,0.12212212212212212
0.157736,0.400517,0.441747,0.05,10.0,0.12312312312312311
0.158452,0.40005,0.441498,0.05,10.0,0.12412412412412413
0.159164,0.399585,0.441251,0.05,10.0,0.12512512512512514
0.159872,0.399122,0.441005,0.05,10.0,0.12612612612612611
0.160577,0.398662,0.440761,0.05,10.0,0.12712712712712712
0.161279,0.398203,0.440518,0.05,10.0,0.12812812812812813
0.161977,0.397746,0.440276,0.05,10.0,0.12912912912912913
0.162672,0.397292,0.440036,0.05,10.0,0.13013013013013014
0.163364,0.396839,0.439797,0.05,10.0,0.13113113113113112
0.164052,0.396389,0.439559,0.05,10.0,0.13213213213213212
0.164737,0.39594,0.439323,0.05,10.0,0.13313313313313313
0.165419,0.395493,0.439088,0.05,10.0,0.13413413413413414
0.166098,0.395048,0.438854,0.05,10.0,0.13513513513513511
0.166773,0.394605,0.438622,0.05,10.0,0.13613613613613612
0.167446,0.394164,0.438391,0.05,10.0,0.13713713713713716
0.168115,0.393724,0.438161,0.05,10.0,0.13813813813813813
0.168782,0.393286,0.437932,0.05,10.0,0.13913913913913914
0.169445,0.39285,0.437704,0.05,10.0,0.14014014014014015
