Time,"Fb","K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","eps","kra","krb","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0.0030474,1.3703e-13,0.23004,1.0691e-05,-9.1281e-08,0,1.0662e-05,-9.099e-08,0,2.9439e-08,-2.9209e-10,0,0.25,0.6646,0.0020285,99410,1,0.026,0.026,0.2,0.1
10000,0.0031698,1.5088e-13,0.23162,1.0733e-05,-1.0616e-07,0,1.0702e-05,-1.058e-07,0,3.0868e-08,-3.5635e-10,0,0.25,0.66224,0.0021024,99298,1,0.027,0.027,0.2,0.1
10000,0.0032922,1.6473e-13,0.23321,1.0775e-05,-1.2103e-07,0,1.0742e-05,-1.2061e-07,0,3.2297e-08,-4.206e-10,0,0.25,0.65988,0.0021762,99187,1,0.028,0.028,0.2,0.1
10000,0.0034146,1.7858e-13,0.2348,1.0816e-05,-1.3591e-07,0,1.0782e-05,-1.3542e-07,0,3.3726e-08,-4.8485e-10,0,0.25,0.65752,0.00225,99075,1,0.029,0.029,0.2,0.1
10000,0.003537,1.9243e-13,0.23638,1.0858e-05,-1.5078e-07,0,1.0823e-05,-1.5023e-07,0,3.5155e-08,-5.4911e-10,0,0.25,0.65516,0.0023239,98964,1,0.03,0.03,0.2,0.1
10000,0.0036605,2.0155e-13,0.23778,1.0908e-05,-1.6852e-07,0,1.0872e-05,-1.6788e-07,0,3.6686e-08,-6.4008e-10,0,0.25,0.6531,0.0023969,98883,1,0.031,0.031,0.2,0.1
10000,0.003784,2.1068e-13,0.23917,1.0959e-05,-1.8625e-07,0,1.0921e-05,-1.8552e-07,0,3.8217e-08,-7.3105e-10,0,0.25,0.65104,0.0024699,98802,1,0.032,0.032,0.2,0.1
10000,0.0039075,2.1981e-13,0.24056,1.1009e-05,-2.0399e-07,0,1.097e-05,-2.0316e-07,0,3.9748e-08,-8.2202e-10,0,0.25,0.64899,0.0025429,98721,1,0.033,0.033,0.2,0.1
10000,0.004031,2.2894e-13,0.24195,1.106e-05,-2.2172e-07,0,1.1019e-05,-2.2081e-07,0,4.1279e-08,-9.1299e-10,0,0.25,0.64693,0.0026159,98641,1,0.034,0.034,0.2,0.1
10000,0.0041545,2.3807e-13,0.24334,1.1111e-05,-2.3945e-07,0,1.1068e-05,-2.3845e-07,0,4.281e-08,-1.004e-09,0,0.25,0.64487,0.0026889,98560,1,0.035,0.035,0.2,0.1
10000,0.0042783,2.3798e-13,0.24458,1.1159e-05,-2.5353e-07,0,1.1115e-05,-2.5243e-07,0,4.4397e-08,-1.1014e-09,0,0.25,0.64306,0.0027608,98487,1,0.036,0.036,0.2,0.1
10000,0.0044022,2.379e-13,0.24581,1.1207e-05,-2.6761e-07,0,1.1161e-05,-2.6641e-07,0,4.5985e-08,-1.1988e-09,0,0.25,0.64124,0.0028327,98414,1,0.037,0.037,0.2,0.1
10000,0.0045261,2.3781e-13,0.24705,1.1256e-05,-2.8168e-07,0,1.1208e-05,-2.8039e-07,0,4.7572e-08,-1.2962e-09,0,0.25,0.63942,0.0029046,98341,1,0.038,0.038,0.2,0.1
10000,0.00465,2.3773e-13,0.24829,1.1304e-05,-2.9576e-07,0,1.1255e-05,-2.9436e-07,0,4.9159e-08,-1.3937e-09,0,0.25,0.6376,0.0029765,98268,1,0.039,0.039,0.2,0.1
10000,0.0047738,2.3765e-13,0.24952,1.1352e-05,-3.0983e-07,0,1.1302e-05,-3.0834e-07,0,5.0747e-08,-1.4911e-09,0,0.25,0.63578,0.0030484,98195,1,0.04,0.04,0.2,0.1
10000,0.0048982,2.3765e-13,0.25064,1.1392e-05,-3.2449e-07,0,1.134e-05,-3.2288e-07,0,5.2357e-08,-1.6088e-09,0,0.25,0.63414,0.0031194,98119,1,0.041,0.041,0.2,0.1
10000,0.0050226,2.3765e-13,0.25176,1.1432e-05,-3.3914e-07,0,1.1378e-05,-3.3741e-07,0,5.3967e-08,-1.7265e-09,0,0.25,0.63251,0.0031904,98044,1,0.042,0.042,0.2,0.1
10000,0.0051469,2.3765e-13,0.25288,1.1472e-05,-3.5379e-07,0,1.1417e-05,-3.5195e-07,0,5.5577e-08,-1.8442e-09,0,0.25,0.63087,0.0032615,97968,1,0.043,0.043,0.2,0.1
10000,0.0052713,2.3765e-13,0.25399,1.1512e-05,-3.6845e-07,0,1.1455e-05,-3.6649e-07,0,5.7187e-08,-1.9619e-09,0,0.25,0.62923,0.0033325,97893,1,0.044,0.044,0.2,0.1
10000,0.0053957,2.3765e-13,0.25511,1.1552e-05,-3.831e-07,0,1.1494e-05,-3.8102e-07,0,5.8797e-08,-2.0796e-09,0,0.25,0.6276,0.0034035,97817,1,0.045,0.045,0.2,0.1
10000,0.0055207,2.3765e-13,0.25613,1.1585e-05,-3.9613e-07,0,1.1525e-05,-3.9393e-07,0,6.0421e-08,-2.2058e-09,0,0.25,0.62611,0.0034739,97739,1,0.046,0.046,0.2,0.1
10000,0.0056457,2.3765e-13,0.25716,1.1617e-05,-4.0916e-07,0,1.1555e-05,-4.0683e-07,0,6.2046e-08,-2.332e-09,0,0.25,0.62461,0.0035442,97662,1,0.047,0.047,0.2,0.1
10000,0.0057708,2.3765e-13,0.25818,1.165e-05,-4.2219e-07,0,1.1586e-05,-4.1973e-07,0,6.367e-08,-2.4582e-09,0,0.25,0.62312,0.0036146,97584,1,0.048,0.048,0.2,0.1
10000,0.0058958,2.3765e-13,0.2592,1.1683e-05,-4.3522e-07,0,1.1617e-05,-4.3264e-07,0,6.5294e-08,-2.5844e-09,0,0.25,0.62163,0.0036849,97506,1,0.049,0.049,0.2,0.1
10000,0.0060209,2.3765e-13,0.26023,1.1715e-05,-4.4825e-07,0,1.1648e-05,-4.4554e-07,0,6.6919e-08,-2.7106e-09,0,0.25,0.62014,0.0037553,97429,1,0.05,0.05,0.2,0.1
10000,0.0061467,2.3765e-13,0.26117,1.1742e-05,-4.5854e-07,0,1.1673e-05,-4.5571e-07,0,6.8555e-08,-2.8352e-09,0,0.25,0.61876,0.0038251,97349,1,0.051,0.051,0.2,0.1
10000,0.0062725,2.3765e-13,0.26212,1.1768e-05,-4.6883e-07,0,1.1698e-05,-4.6588e-07,0,7.0191e-08,-2.9597e-09,0,0.25,0.61739,0.003895,97270,1,0.052,0.052,0.2,0.1
10000,0.0063984,2.3765e-13,0.26307,1.1795e-05,-4.7913e-07,0,1.1723e-05,-4.7604e-07,0,7.1827e-08,-3.0843e-09,0,0.25,0.61601,0.0039648,97190,1,0.053,0.053,0.2,0.1
10000,0.0065242,2.3765e-13,0.26402,1.1821e-05,-4.8942e-07,0,1.1748e-05,-4.8621e-07,0,7.3464e-08,-3.2088e-09,0,0.25,0.61464,0.0040347,97111,1,0.054,0.054,0.2,0.1
10000,0.0066501,2.3765e-13,0.26496,1.1848e-05,-4.9971e-07,0,1.1773e-05,-4.9638e-07,0,7.51e-08,-3.3333e-09,0,0.25,0.61326,0.0041045,97031,1,0.055,0.055,0.2,0.1
10000,0.0067768,2.3765e-13,0.26585,1.187e-05,-5.0694e-07,0,1.1793e-05,-5.035e-07,0,7.675e-08,-3.449e-09,0,0.25,0.61198,0.004174,96950,1,0.056,0.056,0.2,0.1
10000,0.0069035,2.3765e-13,0.26673,1.1892e-05,-5.1418e-07,0,1.1814e-05,-5.1062e-07,0,7.8399e-08,-3.5647e-09,0,0.25,0.6107,0.0042434,96869,1,0.057,0.057,0.2,0.1
10000,0.0070302,2.3765e-13,0.26761,1.1915e-05,-5.2142e-07,0,1.1835e-05,-5.1773e-07,0,8.0049e-08,-3.6804e-09,0,0.25,0.60943,0.0043129,96788,1,0.058,0.058,0.2,0.1
10000,0.007157,2.3765e-13,0.26849,1.1937e-05,-5.2865e-07,0,1.1855e-05,-5.2485e-07,0,8.1699e-08,-3.7961e-09,0,0.25,0.60815,0.0043823,96707,1,0.059,0.059,0.2,0.1
10000,0.0072837,2.3765e-13,0.26938,1.1959e-05,-5.3589e-07,0,1.1876e-05,-5.3197e-07,0,8.3349e-08,-3.9118e-09,0,0.25,0.60687,0.0044518,96625,1,0.06,0.06,0.2,0.1
10000,0.0074113,2.3765e-13,0.27021,1.1978e-05,-5.405e-07,0,1.1893e-05,-5.3648e-07,0,8.5014e-08,-4.0164e-09,0,0.25,0.60567,0.0045209,96543,1,0.061,0.061,0.2,0.1
10000,0.007539,2.3765e-13,0.27104,1.1997e-05,-5.4511e-07,0,1.191e-05,-5.4099e-07,0,8.668e-08,-4.1211e-09,0,0.25,0.60448,0.00459,96460,1,0.062,0.062,0.2,0.1
10000,0.0076666,2.3765e-13,0.27186,1.2016e-05,-5.4972e-07,0,1.1928e-05,-5.455e-07,0,8.8345e-08,-4.2257e-09,0,0.25,0.60328,0.0046591,96377,1,0.063,0.063,0.2,0.1
10000,0.0077943,2.3765e-13,0.27269,1.2035e-05,-5.5433e-07,0,1.1945e-05,-5.5e-07,0,9.0011e-08,-4.3304e-09,0,0.25,0.60209,0.0047282,96295,1,0.064,0.064,0.2,0.1
10000,0.0079219,2.3765e-13,0.27352,1.2055e-05,-5.5894e-07,0,1.1963e-05,-5.5451e-07,0,9.1676e-08,-4.435e-09,0,0.25,0.60089,0.0047974,96212,1,0.065,0.065,0.2,0.1
10000,0.0080505,2.3765e-13,0.2743,1.2071e-05,-5.6169e-07,0,1.1978e-05,-5.5716e-07,0,9.3357e-08,-4.5302e-09,0,0.25,0.59977,0.0048662,96128,1,0.066,0.066,0.2,0.1
10000,0.0081791,2.3765e-13,0.27509,1.2088e-05,-5.6444e-07,0,1.1993e-05,-5.5982e-07,0,9.5038e-08,-4.6254e-09,0,0.25,0.59864,0.004935,96044,1,0.067,0.067,0.2,0.1
10000,0.0083076,2.3765e-13,0.27587,1.2105e-05,-5.6719e-07,0,1.2008e-05,-5.6247e-07,0,9.6719e-08,-4.7206e-09,0,0.25,0.59752,0.0050039,95960,1,0.068,0.068,0.2,0.1
10000,0.0084362,2.3765e-13,0.27665,1.2121e-05,-5.6994e-07,0,1.2023e-05,-5.6513e-07,0,9.84e-08,-4.8157e-09,0,0.25,0.5964,0.0050727,95876,1,0.069,0.069,0.2,0.1
10000,0.0085647,2.3765e-13,0.27743,1.2138e-05,-5.7269e-07,0,1.2038e-05,-5.6778e-07,0,1.0008e-07,-4.9109e-09,0,0.25,0.59527,0.0051416,95792,1,0.07,0.07,0.2,0.1
10000,0.0086942,2.3765e-13,0.27817,1.2152e-05,-5.7408e-07,0,1.205e-05,-5.6909e-07,0,1.0177e-07,-4.9977e-09,0,0.25,0.59421,0.0052102,95706,1,0.071,0.071,0.2,0.1
10000,0.0088237,2.3765e-13,0.27891,1.2167e-05,-5.7548e-07,0,1.2063e-05,-5.7039e-07,0,1.0347e-07,-5.0844e-09,0,0.25,0.59315,0.0052788,95621,1,0.072,0.072,0.2,0.1
10000,0.0089532,2.3765e-13,0.27965,1.2181e-05,-5.7687e-07,0,1.2076e-05,-5.717e-07,0,1.0516e-07,-5.1712e-09,0,0.25,0.59208,0.0053474,95536,1,0.073,0.073,0.2,0.1
10000,0.0090827,2.3765e-13,0.2804,1.2196e-05,-5.7826e-07,0,1.2089e-05,-5.7301e-07,0,1.0686e-07,-5.2579e-09,0,0.25,0.59102,0.005416,95450,1,0.074,0.074,0.2,0.1
