x, y
0, 0.2729032258064516
0.0128, 0.2696774193548387
0.0304, 0.26129032258064516
0.0488, 0.2535483870967742
0.06720000000000001, 0.24838709677419354
0.09040000000000001, 0.23935483870967741
0.1184, 0.23096774193548386
0.15760000000000002, 0.22064516129032258
0.19440000000000002, 0.21096774193548387
0.2544, 0.1967741935483871
0.2888, 0.18774193548387097
0.3168, 0.18064516129032257
0.3432, 0.17225806451612904
0.35760000000000003, 0.16709677419354838
0.3672, 0.16193548387096773
0.37520000000000003, 0.15548387096774194
0.3808, 0.14709677419354839
0.38480000000000003, 0.13806451612903226
0.388, 0.13161290322580646
0.39440000000000003, 0.12580645161290321
0.40240000000000004, 0.12580645161290321
0.4112, 0.12645161290322582
0.4192, 0.12838709677419355
0.4248, 0.13225806451612904
0.42800000000000005, 0.1464516129032258
0.42960000000000004, 0.16709677419354838
0.4304, 0.1858064516129032
0.432, 0.20129032258064516
0.43360000000000004, 0.2103225806451613
0.43760000000000004, 0.2135483870967742
0.44480000000000003, 0.21483870967741936
0.4632, 0.21483870967741936
0.48000000000000004, 0.21548387096774194
0.4968, 0.21548387096774194
0.5008, 0.2103225806451613
0.5032, 0.2
0.504, 0.18903225806451612
0.5064000000000001, 0.17419354838709677
0.5088, 0.16322580645161291
0.5112, 0.15548387096774194
0.516, 0.15096774193548387
0.536, 0.1503225806451613
0.5992000000000001, 0.1503225806451613
0.664, 0.1503225806451613
0.7608, 0.1503225806451613
0.8816, 0.1503225806451613
0.9984000000000001, 0.1503225806451613
