sw,so,sg
0.2,0.0,0.8
0.20666666666666667,0.0,0.7933333333333333
0.21333333333333335,0.0,0.7866666666666666
0.22,0.0,0.78
0.22666666666666666,0.0,0.7733333333333333
0.23333333333333334,0.0,0.7666666666666667
0.24,0.0,0.76
0.24666666666666667,0.0,0.7533333333333333
0.25333333333333335,0.0,0.7466666666666667
0.26,0.0,0.74
0.26666666666666666,0.0,0.7333333333333333
0.2733333333333333,0.0,0.7266666666666667
0.28,0.0,0.72
0.2866666666666667,0.0,0.7133333333333334
0.29333333333333333,0.0,0.7066666666666667
0.3,0.0,0.7
