Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
750,1.6157e-05,-1.7519e-19,0,0.35168,0.48512,0.35217,0.48806,0.1632,0.15977,0.12403,0.2668,2.5809,1.1173,3.7481,1.165,3.9414e+05,3.9414e+05,-11.555,0.22,3.9414e+05,0.024,0,0
750,1.6157e-05,-3.9533e-22,0,0.35266,0.491,0.35217,0.48806,0.15634,0.15977,0.12403,0.25992,2.6635,1.1448,3.8474,1.165,3.9414e+05,3.9414e+05,-11.555,0.22,3.9414e+05,0.02,0.035449,0
750,1.6157e-05,-3.9533e-22,0,0.35168,0.48512,0.35217,0.48806,0.1632,0.15977,0.12403,0.2668,2.5809,1.1173,3.7481,1.165,3.9414e+05,3.9414e+05,-11.555,0.22,3.9414e+05,0.024,0.035449,0
750,1.6157e-05,1.7e-19,0,0.35166,0.48496,0.35119,0.48217,0.16339,0.16664,0.12347,0.26616,2.5903,1.1166,3.7571,1.165,3.9045e+05,3.9045e+05,-11.555,0.22,3.9045e+05,0.024,0,0
750,1.6157e-05,1.7e-19,0,0.35073,0.47939,0.35119,0.48217,0.16988,0.16664,0.12347,0.27278,2.5134,1.091,3.6659,1.165,3.9045e+05,3.9045e+05,-11.555,0.22,3.9045e+05,0.028,0,0
750,1.6157e-05,-1.9767e-22,0,0.35166,0.48496,0.35119,0.48217,0.16339,0.16664,0.12347,0.26616,2.5903,1.1166,3.7571,1.165,3.9045e+05,3.9045e+05,-11.555,0.22,3.9045e+05,0.024,0.035449,0
750,1.6157e-05,-1.9767e-22,0,0.35073,0.47939,0.35119,0.48217,0.16988,0.16664,0.12347,0.27278,2.5134,1.091,3.6659,1.165,3.9045e+05,3.9045e+05,-11.555,0.22,3.9045e+05,0.028,0.035449,0
750,1.6157e-05,-1.1058e-19,0,0.35071,0.47926,0.35026,0.47661,0.17003,0.17313,0.12298,0.27219,2.5217,1.0905,3.6739,1.165,3.8666e+05,3.8666e+05,-11.555,0.22,3.8666e+05,0.028,0,0
750,1.6157e-05,-1.1058e-19,0,0.34982,0.47396,0.35026,0.47661,0.17622,0.17313,0.12298,0.27859,2.4495,1.0663,3.5895,1.165,3.8666e+05,3.8666e+05,-11.555,0.22,3.8666e+05,0.032,0,0
750,1.6157e-05,5.5288e-20,0,0.35071,0.47926,0.35026,0.47661,0.17003,0.17313,0.12298,0.27219,2.5217,1.0905,3.6739,1.165,3.8666e+05,3.8666e+05,-11.555,0.22,3.8666e+05,0.028,0.035449,0
750,1.6157e-05,5.5288e-20,0,0.34982,0.47396,0.35026,0.47661,0.17622,0.17313,0.12298,0.27859,2.4495,1.0663,3.5895,1.165,3.8666e+05,3.8666e+05,-11.555,0.22,3.8666e+05,0.032,0.035449,0
750,1.6157e-05,-2.6959e-19,0,0.3498,0.47385,0.34937,0.4713,0.17635,0.17932,0.12254,0.27804,2.4568,1.0659,3.5966,1.165,3.8277e+05,3.8277e+05,-11.555,0.22,3.8277e+05,0.032,0,0
