So,Sw,Sg,Cs,MRF,xD
0.127166,0.420292,0.452543,0.05,10.0,0.08508508508508508
0.128062,0.419716,0.452222,0.05,10.0,0.08608608608608609
0.128952,0.419145,0.451903,0.05,10.0,0.08708708708708708
0.129836,0.418577,0.451587,0.05,10.0,0.08808808808808809
0.130714,0.418012,0.451274,0.05,10.0,0.0890890890890891
0.131586,0.417452,0.450962,0.05,10.0,0.09009009009009009
0.132453,0.416894,0.450653,0.05,10.0,0.09109109109109108
0.133313,0.41634,0.450346,0.05,10.0,0.0920920920920921
0.134168,0.41579,0.450042,0.05,10.0,0.09309309309309309
0.135018,0.415243,0.449739,0.05,10.0,0.0940940940940941
0.135862,0.414699,0.449439,0.05,10.0,0.09509509509509509
0.136701,0.414158,0.449141,0.05,10.0,0.0960960960960961
0.137534,0.41362,0.448845,0.05,10.0,0.0970970970970971
0.138363,0.413086,0.448551,0.05,10.0,0.0980980980980981
0.139186,0.412555,0.44826,0.05,10.0,0.09909909909909909
0.140004,0.412026,0.44797,0.05,10.0,0.1001001001001001
0.140817,0.411501,0.447682,0.05,10.0,0.1011011011011011
0.141626,0.410978,0.447396,0.05,10.0,0.10210210210210209
0.142429,0.410459,0.447112,0.05,10.0,0.1031031031031031
0.143228,0.409942,0.44683,0.05,10.0,0.1041041041041041
0.144022,0.409428,0.44655,0.05,10.0,0.10510510510510511
0.144811,0.408917,0.446272,0.05,10.0,0.1061061061061061
0.145596,0.408409,0.445995,0.05,10.0,0.1071071071071071
0.146376,0.407903,0.44572,0.05,10.0,0.10810810810810811
0.147152,0.4074,0.445448,0.05,10.0,0.1091091091091091
0.147924,0.4069,0.445176,0.05,10.0,0.1101101101101101
0.148691,0.406402,0.444907,0.05,10.0,0.1111111111111111
0.149454,0.405907,0.444639,0.05,10.0,0.11211211211211211
0.150212,0.405414,0.444373,0.05,10.0,0.1131131131131131
0.150967,0.404924,0.444109,0.05,10.0,0.11411411411411411
0.151717,0.404436,0.443846,0.05,10.0,0.1151151151151151
0.152464,0.403951,0.443585,0.05,10.0,0.11611611611611612
0.153206,0.403468,0.443326,0.05,10.0,0.11711711711711711
0.153945,0.402987,0.443068,0.05,10.0,0.1181181181181181
0.154679,0.402509,0.442811,0.05,10.0,0.11911911911911911
0.15541,0.402033,0.442557,0.05,10.0,0.12012012012012012
0.156137,0.401559,0.442303,0.05,10.0,0.12112112112112111
0.156861,0.401088,0.442052,0.05,10.0,0.12212212212212212
0.15758,0.400618,0.441801,0.05,10.0,0.12312312312312311
0.158296,0.400151,0.441552,0.05,10.0,0.12412412412412413
0.159009,0.399686,0.441305,0.05,10.0,0.12512512512512514
0.159718,0.399223,0.441059,0.05,10.0,0.12612612612612611
0.160423,0.398762,0.440814,0.05,10.0,0.12712712712712712
0.161125,0.398304,0.440571,0.05,10.0,0.12812812812812813
0.161824,0.397847,0.440329,0.05,10.0,0.12912912912912913
0.162519,0.397392,0.440089,0.05,10.0,0.13013013013013014
0.163211,0.396939,0.43985,0.05,10.0,0.13113113113113112
0.1639,0.396488,0.439612,0.05,10.0,0.13213213213213212
0.164585,0.396039,0.439375,0.05,10.0,0.13313313313313313
0.165268,0.395592,0.43914,0.05,10.0,0.13413413413413414
0.165947,0.395147,0.438906,0.05,10.0,0.13513513513513511
0.166623,0.394703,0.438674,0.05,10.0,0.13613613613613612
0.167296,0.394262,0.438442,0.05,10.0,0.13713713713713716
0.167966,0.393822,0.438212,0.05,10.0,0.13813813813813813
0.168633,0.393384,0.437983,0.05,10.0,0.13913913913913914
0.169297,0.392948,0.437755,0.05,10.0,0.14014014014014015
0.169958,0.392513,0.437529,0.05,10.0,0.14114114114114112
0.170616,0.39208,0.437303,0.05,10.0,0.14214214214214213
0.171272,0.391649,0.437079,0.05,10.0,0.14314314314314314
0.171924,0.39122,0.436856,0.05,10.0,0.14414414414414412
0.172574,0.390792,0.436634,0.05,10.0,0.14514514514514515
0.173221,0.390366,0.436413,0.05,10.0,0.14614614614614616
0.173866,0.389941,0.436193,0.05,10.0,0.14714714714714713
0.174508,0.389518,0.435974,0.05,10.0,0.14814814814814814
