x, y
0.001841620626151013, 0.6865979381443299
0.01565377532228361, 0.6618556701030928
0.0285451197053407, 0.6309278350515464
0.04419889502762431, 0.5855670103092784
0.05156537753222836, 0.5402061855670103
0.056169429097605895, 0.4948453608247423
0.05801104972375691, 0.31752577319587627
0.05985267034990792, 0.2536082474226804
0.06353591160220995, 0.2020618556701031
0.0718232044198895, 0.14845360824742268
0.08195211786372007, 0.10927835051546392
0.09576427255985268, 0.08247422680412371
0.1151012891344383, 0.0577319587628866
0.13996316758747698, 0.03711340206185567
0.1712707182320442, 0.020618556701030927
0.20073664825046042, 0.016494845360824743
0.23756906077348067, 0.012371134020618558
0.8250460405156538, 0.006185567010309279
0.8342541436464088, 0
0.9990791896869246, 0.002061855670103093
