Time,"Fa","Fb","Fc","Foil","Fshear","K","Nca","Sa","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0,1,2.2205e-16,1,1,9.8692e-14,7.3548,1e-08,0.8,0.16818,0.16818,0,0,0,0,0.16818,0.16818,0,4.264e-17,4.4305e-17,0,1,0,1,2.2205e-16,2.5371e+13,1,3.2527,2.3,2.3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,7.0622,1e-08,0.8,0.1614,0.1614,0,0,0,0,0.1614,0.1614,0,4.0801e-17,4.3299e-17,0,1,0,1,2.2205e-16,2.5027e+13,1,3.3941,2.4,2.4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,6.7835,1e-08,0.8,0.15505,0.15505,0,0,0,0,0.15505,0.15505,0,3.9031e-17,4.2501e-17,0,1,0,1,2.2205e-16,2.4696e+13,1,3.5355,2.5,2.5,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,6.5187,1e-08,0.8,0.14913,0.14913,0,0,0,0,0.14913,0.14913,0,3.7331e-17,4.1911e-17,0,1,0,1,2.2205e-16,2.4377e+13,1,3.677,2.6,2.6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,6.2676,1e-08,0.8,0.14363,0.14363,0,0,0,0,0.14363,0.14363,0,3.5701e-17,4.1529e-17,0,1,0,1,2.2205e-16,2.407e+13,1,3.8184,2.7,2.7,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,6.0304,1e-08,0.8,0.13857,0.13857,0,0,0,0,0.13857,0.13857,0,3.4139e-17,4.1356e-17,0,1,0,1,2.2205e-16,2.3776e+13,1,3.9598,2.8,2.8,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,5.8071,1e-08,0.8,0.13394,0.13394,0,0,0,0,0.13394,0.13394,0,3.2648e-17,4.1391e-17,0,1,0,1,2.2205e-16,2.3495e+13,1,4.1012,2.9,2.9,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,5.5976,1e-08,0.8,0.12973,0.12973,0,0,0,0,0.12973,0.12973,0,3.1225e-17,4.1633e-17,0,1,0,1,2.2205e-16,2.3226e+13,1,4.2426,3,3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,5.4361,1e-08,0.8,0.12583,0.12583,0,0,0,0,0.12583,0.12583,0,2.9213e-17,3.9309e-17,0,1,0,1,2.2205e-16,2.2966e+13,1,4.3841,3.1,3.1,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,5.2799,1e-08,0.8,0.12209,0.12209,0,0,0,0,0.12209,0.12209,0,2.7339e-17,3.7193e-17,0,1,0,1,2.2205e-16,2.2713e+13,1,4.5255,3.2,3.2,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,5.1291,1e-08,0.8,0.11851,0.11851,0,0,0,0,0.11851,0.11851,0,2.5605e-17,3.5284e-17,0,1,0,1,2.2205e-16,2.2466e+13,1,4.6669,3.3,3.3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.9835,1e-08,0.8,0.1151,0.1151,0,0,0,0,0.1151,0.1151,0,2.4009e-17,3.3584e-17,0,1,0,1,2.2205e-16,2.2225e+13,1,4.8083,3.4,3.4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.8432,1e-08,0.8,0.11186,0.11186,0,0,0,0,0.11186,0.11186,0,2.2551e-17,3.2092e-17,0,1,0,1,2.2205e-16,2.1991e+13,1,4.9497,3.5,3.5,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.7083,1e-08,0.8,0.10878,0.10878,0,0,0,0,0.10878,0.10878,0,2.1233e-17,3.0809e-17,0,1,0,1,2.2205e-16,2.1763e+13,1,5.0912,3.6,3.6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.5787,1e-08,0.8,0.10587,0.10587,0,0,0,0,0.10587,0.10587,0,2.0053e-17,2.9733e-17,0,1,0,1,2.2205e-16,2.1542e+13,1,5.2326,3.7,3.7,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.4543,1e-08,0.8,0.10313,0.10313,0,0,0,0,0.10313,0.10313,0,1.9013e-17,2.8866e-17,0,1,0,1,2.2205e-16,2.1327e+13,1,5.374,3.8,3.8,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.3353,1e-08,0.8,0.10055,0.10055,0,0,0,0,0.10055,0.10055,0,1.8111e-17,2.8207e-17,0,1,0,1,2.2205e-16,2.1119e+13,1,5.5154,3.9,3.9,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.2216,1e-08,0.8,0.098131,0.098131,0,0,0,0,0.098131,0.098131,0,1.7347e-17,2.7756e-17,0,1,0,1,2.2205e-16,2.0917e+13,1,5.6569,4,4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.1266,1e-08,0.8,0.09584,0.09584,0,0,0,0,0.09584,0.09584,0,1.6688e-17,2.6715e-17,0,1,0,1,2.2205e-16,2.072e+13,1,5.7983,4.1,4.1,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,4.0342,1e-08,0.8,0.09363,0.09363,0,0,0,0,0.09363,0.09363,0,1.6098e-17,2.5674e-17,0,1,0,1,2.2205e-16,2.0527e+13,1,5.9397,4.2,4.2,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.9443,1e-08,0.8,0.091501,0.091501,0,0,0,0,0.091501,0.091501,0,1.5578e-17,2.4633e-17,0,1,0,1,2.2205e-16,2.0338e+13,1,6.0811,4.3,4.3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.8571,1e-08,0.8,0.089452,0.089452,0,0,0,0,0.089452,0.089452,0,1.5127e-17,2.3592e-17,0,1,0,1,2.2205e-16,2.0153e+13,1,6.2225,4.4,4.4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,3.7724,1e-08,0.8,0.087485,0.087485,0,0,0,0,0.087485,0.087485,0,1.4745e-17,2.2551e-17,0,1,0,1,2.2205e-16,1.9971e+13,1,6.364,4.5,4.5,10
