"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.19382,0.80571,1e-12,0.52051,0.36519,0.11431,1.4111e-05,0,0,2.735e-06,0,0,1.1369e-05,0,0,6.6236e-09,0,0,0.25,0.00026432,0.10988,0.0003198,1.7811e+05,1,0.08808,0.08808,0.005,0.005
0.19378,0.80573,1e-12,0.51984,0.36554,0.11462,1.4111e-05,0,0,2.7343e-06,0,0,1.137e-05,0,0,6.9493e-09,0,0,0.25,0.00026498,0.11018,0.00033391,1.7773e+05,1,0.09175,0.09175,0.005,0.005
0.1937,0.80578,1e-12,0.51863,0.36619,0.11518,1.4111e-05,0,0,2.7326e-06,0,0,1.1371e-05,0,0,7.6884e-09,0,0,0.25,0.00026614,0.11072,0.0003601,1.7735e+05,1,0.09542,0.09542,0.005,0.005
0.19344,0.80592,1e-12,0.51492,0.3682,0.11689,1.4111e-05,0,0,2.7271e-06,0,0,1.1374e-05,0,0,1.0197e-08,0,0,0.25,0.00026978,0.1124,0.00044819,1.7698e+05,1,0.09909,0.09909,0.005,0.005
0.19215,0.80664,1e-12,0.50001,0.37647,0.12352,1.4111e-05,0,0,2.7027e-06,0,0,1.1387e-05,0,0,2.0889e-08,0,0,0.25,0.00028458,0.1195,0.00090834,1.7661e+05,1,0.10276,0.10276,0.005,0.005
0.18206,0.81294,1e-12,0.41332,0.42984,0.15684,1.4111e-05,0,0,2.5713e-06,0,0,1.1472e-05,0,0,6.7896e-08,0,0,0.25,0.0003824,0.17339,0.0062734,1.763e+05,1,0.10643,0.10643,0.005,0.005
0.16383,0.8251,1e-12,0.23108,0.55081,0.21811,1.4111e-05,0,0,2.3373e-06,0,0,1.1628e-05,0,0,1.4585e-07,0,0,0.25,0.00063466,0.32618,0.023525,1.7609e+05,1,0.1101,0.1101,0.005,0.005
0.15303,0.83264,1e-12,0.10095,0.64044,0.25861,1.4111e-05,0,0,2.179e-06,0,0,1.1735e-05,0,0,1.9653e-07,0,0,0.25,0.00083888,0.45674,0.039391,1.7598e+05,1,0.11377,0.11377,0.005,0.005
0.15087,0.83408,1e-12,0.071616,0.66014,0.26825,1.4111e-05,0,0,2.133e-06,0,0,1.1767e-05,0,0,2.1108e-07,0,0,0.25,0.00088675,0.49027,0.04424,1.7589e+05,1,0.11744,0.11744,0.005,0.005
0.14997,0.83467,1e-12,0.061552,0.66657,0.27188,1.4111e-05,0,0,2.1175e-06,0,0,1.1777e-05,0,0,2.1638e-07,0,0,0.25,0.00090119,0.50157,0.046163,1.758e+05,1,0.12111,0.12111,0.005,0.005
0.14943,0.83501,1e-12,0.056202,0.66987,0.27393,1.4111e-05,0,0,2.1091e-06,0,0,1.1783e-05,0,0,2.1935e-07,0,0,0.25,0.00090808,0.50743,0.047268,1.7571e+05,1,0.12478,0.12478,0.005,0.005
0.14904,0.83526,1e-12,0.052606,0.67203,0.27537,1.4111e-05,0,0,2.1034e-06,0,0,1.1786e-05,0,0,2.2146e-07,0,0,0.25,0.00091231,0.51128,0.048053,1.7563e+05,1,0.12845,0.12845,0.005,0.005
0.14873,0.83545,1e-12,0.049862,0.67363,0.2765,1.4111e-05,0,0,2.0989e-06,0,0,1.1789e-05,0,0,2.2318e-07,0,0,0.25,0.0009153,0.51415,0.048678,1.7554e+05,1,0.13212,0.13212,0.005,0.005
0.14846,0.83561,1e-12,0.047616,0.67492,0.27747,1.4111e-05,0,0,2.0951e-06,0,0,1.1791e-05,0,0,2.2468e-07,0,0,0.25,0.00091758,0.51645,0.049212,1.7546e+05,1,0.13579,0.13579,0.005,0.005
0.14823,0.83575,1e-12,0.045697,0.67598,0.27832,1.4111e-05,0,0,2.0918e-06,0,0,1.1793e-05,0,0,2.2605e-07,0,0,0.25,0.00091939,0.51837,0.049684,1.7538e+05,1,0.13946,0.13946,0.005,0.005
0.14802,0.83587,1e-12,0.044016,0.6769,0.27909,1.4111e-05,0,0,2.0888e-06,0,0,1.1795e-05,0,0,2.2732e-07,0,0,0.25,0.00092088,0.52002,0.050113,1.7529e+05,1,0.14313,0.14313,0.005,0.005
0.14783,0.83597,1e-12,0.042519,0.67769,0.27979,1.4111e-05,0,0,2.0861e-06,0,0,1.1796e-05,0,0,2.2852e-07,0,0,0.25,0.00092212,0.52144,0.050509,1.7521e+05,1,0.1468,0.1468,0.005,0.005
0.14766,0.83606,1e-12,0.04117,0.67838,0.28045,1.4111e-05,0,0,2.0837e-06,0,0,1.1798e-05,0,0,2.2966e-07,0,0,0.25,0.00092316,0.52269,0.050878,1.7513e+05,1,0.15047,0.15047,0.005,0.005
0.1475,0.83614,1e-12,0.039945,0.67899,0.28106,1.4111e-05,0,0,2.0815e-06,0,0,1.1799e-05,0,0,2.3077e-07,0,0,0.25,0.00092403,0.5238,0.051225,1.7504e+05,1,0.15414,0.15414,0.005,0.005
0.14736,0.83621,1e-12,0.038826,0.67953,0.28164,1.4111e-05,0,0,2.0794e-06,0,0,1.18e-05,0,0,2.3183e-07,0,0,0.25,0.00092476,0.52478,0.051554,1.7496e+05,1,0.15781,0.15781,0.005,0.005
0.14722,0.83627,1e-12,0.037799,0.68001,0.28219,1.4111e-05,0,0,2.0775e-06,0,0,1.1801e-05,0,0,2.3287e-07,0,0,0.25,0.00092538,0.52564,0.051865,1.7488e+05,1,0.16148,0.16148,0.005,0.005
0.1471,0.83633,1e-12,0.036855,0.68043,0.28271,1.4111e-05,0,0,2.0757e-06,0,0,1.1801e-05,0,0,2.3387e-07,0,0,0.25,0.00092589,0.52641,0.052162,1.748e+05,1,0.16515,0.16515,0.005,0.005
0.14698,0.83637,1e-12,0.035983,0.68081,0.28321,1.4111e-05,0,0,2.0741e-06,0,0,1.1802e-05,0,0,2.3486e-07,0,0,0.25,0.00092631,0.52709,0.052446,1.7472e+05,1,0.16882,0.16882,0.005,0.005
0.14688,0.8364,1e-12,0.035177,0.68114,0.28368,1.4111e-05,0,0,2.0727e-06,0,0,1.1803e-05,0,0,2.3582e-07,0,0,0.25,0.00092669,0.52769,0.052718,1.7463e+05,1,0.17249,0.17249,0.005,0.005
0.14679,0.83643,1e-12,0.034429,0.68143,0.28414,1.4111e-05,0,0,2.0714e-06,0,0,1.1803e-05,0,0,2.3676e-07,0,0,0.25,0.00092703,0.52822,0.05298,1.7455e+05,1,0.17616,0.17616,0.005,0.005
0.14671,0.83645,1e-12,0.033733,0.68169,0.28458,1.4111e-05,0,0,2.0702e-06,0,0,1.1803e-05,0,0,2.3768e-07,0,0,0.25,0.00092728,0.52869,0.053233,1.7447e+05,1,0.17983,0.17983,0.005,0.005
0.14663,0.83647,1e-12,0.033083,0.68192,0.285,1.4111e-05,0,0,2.069e-06,0,0,1.1803e-05,0,0,2.3859e-07,0,0,0.25,0.00092748,0.5291,0.053477,1.7439e+05,1,0.1835,0.1835,0.005,0.005
