Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
80,1.4111e-05,-8.6149e-19,0,0.35231,0.54455,0.35263,0.5439,0.10314,0.10347,0.018983,0.0080724,24.407,99.469,123.88,1.165,2.5804e+05,2.5804e+05,-12,0.25,2.5804e+05,0.01835,0.01,0
80,1.4111e-05,-8.6149e-19,0,0.35296,0.54324,0.35263,0.5439,0.1038,0.10347,0.018983,0.0080466,24.29,99.982,124.28,1.165,2.5804e+05,2.5804e+05,-12,0.25,2.5804e+05,0.02202,0.01,0
80,1.4111e-05,8.6912e-19,0,0.35297,0.54323,0.3533,0.54256,0.1038,0.10414,0.018791,0.0080301,24.538,99.989,124.53,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02202,0,0
80,1.4111e-05,8.6912e-19,0,0.35364,0.54189,0.3533,0.54256,0.10447,0.10414,0.018791,0.0080037,24.417,100.52,124.94,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02569,0,0
80,1.4111e-05,8.6912e-19,0,0.35297,0.54323,0.3533,0.54256,0.1038,0.10414,0.018791,0.0080301,24.538,99.989,124.53,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02202,0.01,0
80,1.4111e-05,8.6912e-19,0,0.35364,0.54189,0.3533,0.54256,0.10447,0.10414,0.018791,0.0080037,24.417,100.52,124.94,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02569,0.01,0
80,1.4111e-05,-7.8589e-18,0,0.35365,0.54188,0.35399,0.5412,0.10448,0.10482,0.018596,0.007987,24.671,100.53,125.2,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02569,0,0
80,1.4111e-05,-7.8589e-18,0,0.35433,0.54051,0.35399,0.5412,0.10516,0.10482,0.018596,0.0079601,24.547,101.07,125.63,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02936,0,0
80,1.4111e-05,7.8589e-18,0,0.35365,0.54188,0.35399,0.5412,0.10448,0.10482,0.018596,0.007987,24.671,100.53,125.2,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02569,0.01,0
80,1.4111e-05,7.8589e-18,0,0.35433,0.54051,0.35399,0.5412,0.10516,0.10482,0.018596,0.0079601,24.547,101.07,125.63,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02936,0.01,0
80,1.4111e-05,-1.2239e-21,0,0.35434,0.5405,0.35469,0.5398,0.10516,0.10551,0.018399,0.0079431,24.809,101.08,125.89,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.02936,0,0
80,1.4111e-05,-1.2239e-21,0,0.35505,0.5391,0.35469,0.5398,0.10585,0.10551,0.018399,0.0079157,24.681,101.64,126.33,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.03303,0,0
80,1.4111e-05,-5.2695e-18,0,0.35434,0.5405,0.35469,0.5398,0.10516,0.10551,0.018399,0.0079431,24.809,101.08,125.89,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.02936,0.01,0
80,1.4111e-05,-5.2695e-18,0,0.35505,0.5391,0.35469,0.5398,0.10585,0.10551,0.018399,0.0079157,24.681,101.64,126.33,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.03303,0.01,0
80,1.4111e-05,-5.3025e-18,0,0.35506,0.53908,0.35542,0.53837,0.10586,0.10621,0.0182,0.0078984,24.95,101.65,126.61,1.165,2.5666e+05,2.5666e+05,-12,0.25,2.5666e+05,0.03303,0,0
80,1.4111e-05,-5.3025e-18,0,0.35578,0.53765,0.35542,0.53837,0.10657,0.10621,0.0182,0.0078705,24.817,102.23,127.06,1.165,2.5666e+05,2.5666e+05,-12,0.25,2.5666e+05,0.0367,0,0
80,1.4111e-05,7.943e-18,0,0.35506,0.53908,0.35542,0.53837,0.10586,0.10621,0.0182,0.0078984,24.95,101.65,126.61,1.165,2.5666e+05,2.5666e+05,-12,0.25,2.5666e+05,0.03303,0.01,0
80,1.4111e-05,7.943e-18,0,0.35578,0.53765,0.35542,0.53837,0.10657,0.10621,0.0182,0.0078705,24.817,102.23,127.06,1.165,2.5666e+05,2.5666e+05,-12,0.25,2.5666e+05,0.0367,0.01,0
80,1.4111e-05,2.6718e-18,0,0.35579,0.53763,0.35617,0.5369,0.10658,0.10694,0.017997,0.0078528,25.095,102.23,127.34,1.165,2.5632e+05,2.5632e+05,-12,0.25,2.5632e+05,0.0367,0,0
80,1.4111e-05,2.6718e-18,0,0.35654,0.53616,0.35617,0.5369,0.1073,0.10694,0.017997,0.0078243,24.958,102.83,127.81,1.165,2.5632e+05,2.5632e+05,-12,0.25,2.5632e+05,0.04037,0,0
80,1.4111e-05,-2.6571e-18,0,0.35579,0.53763,0.35617,0.5369,0.10658,0.10694,0.017997,0.0078528,25.095,102.23,127.34,1.165,2.5632e+05,2.5632e+05,-12,0.25,2.5632e+05,0.0367,0.01,0
80,1.4111e-05,-2.6571e-18,0,0.35654,0.53616,0.35617,0.5369,0.1073,0.10694,0.017997,0.0078243,24.958,102.83,127.81,1.165,2.5632e+05,2.5632e+05,-12,0.25,2.5632e+05,0.04037,0.01,0
80,1.4111e-05,-3.5763e-18,0,0.35655,0.53614,0.35694,0.53539,0.1073,0.10767,0.017792,0.0078063,25.244,102.84,128.1,1.165,2.5598e+05,2.5598e+05,-12,0.25,2.5598e+05,0.04037,0,0
80,1.4111e-05,-3.5763e-18,0,0.35732,0.53464,0.35694,0.53539,0.10804,0.10767,0.017792,0.0077772,25.102,103.46,128.58,1.165,2.5598e+05,2.5598e+05,-12,0.25,2.5598e+05,0.04404,0,0
80,1.4111e-05,1.7845e-18,0,0.35655,0.53614,0.35694,0.53539,0.1073,0.10767,0.017792,0.0078063,25.244,102.84,128.1,1.165,2.5598e+05,2.5598e+05,-12,0.25,2.5598e+05,0.04037,0.01,0
80,1.4111e-05,1.7845e-18,0,0.35732,0.53464,0.35694,0.53539,0.10804,0.10767,0.017792,0.0077772,25.102,103.46,128.58,1.165,2.5598e+05,2.5598e+05,-12,0.25,2.5598e+05,0.04404,0.01,0
80,1.4111e-05,-3.5969e-18,0,0.35733,0.53462,0.35773,0.53385,0.10805,0.10843,0.017584,0.0077588,25.398,103.47,128.89,1.165,2.5564e+05,2.5564e+05,-12,0.25,2.5564e+05,0.04404,0,0
80,1.4111e-05,-3.5969e-18,0,0.35812,0.53307,0.35773,0.53385,0.1088,0.10843,0.017584,0.0077291,25.251,104.11,129.38,1.165,2.5564e+05,2.5564e+05,-12,0.25,2.5564e+05,0.04771,0,0
80,1.4111e-05,-3.5969e-18,0,0.35733,0.53462,0.35773,0.53385,0.10805,0.10843,0.017584,0.0077588,25.398,103.47,128.89,1.165,2.5564e+05,2.5564e+05,-12,0.25,2.5564e+05,0.04404,0.01,0
80,1.4111e-05,-3.5969e-18,0,0.35812,0.53307,0.35773,0.53385,0.1088,0.10843,0.017584,0.0077291,25.251,104.11,129.38,1.165,2.5564e+05,2.5564e+05,-12,0.25,2.5564e+05,0.04771,0.01,0
80,1.4111e-05,6.3333e-18,0,0.35814,0.53305,0.35855,0.53226,0.10881,0.1092,0.017372,0.0077103,25.556,104.12,129.7,1.165,2.5531e+05,2.5531e+05,-12,0.25,2.5531e+05,0.04771,0,0
80,1.4111e-05,6.3333e-18,0,0.35895,0.53146,0.35855,0.53226,0.10958,0.1092,0.017372,0.0076799,25.404,104.78,130.21,1.165,2.5531e+05,2.5531e+05,-12,0.25,2.5531e+05,0.05138,0,0
80,1.4111e-05,-1.8079e-18,0,0.35814,0.53305,0.35855,0.53226,0.10881,0.1092,0.017372,0.0077103,25.556,104.12,129.7,1.165,2.5531e+05,2.5531e+05,-12,0.25,2.5531e+05,0.04771,0.01,0
80,1.4111e-05,-1.8079e-18,0,0.35895,0.53146,0.35855,0.53226,0.10958,0.1092,0.017372,0.0076799,25.404,104.78,130.21,1.165,2.5531e+05,2.5531e+05,-12,0.25,2.5531e+05,0.05138,0.01,0
80,1.4111e-05,-5.4602e-18,0,0.35897,0.53144,0.35939,0.53062,0.10959,0.10999,0.017157,0.0076606,25.72,104.79,130.54,1.165,2.5498e+05,2.5498e+05,-12,0.25,2.5498e+05,0.05138,0,0
80,1.4111e-05,-5.4602e-18,0,0.35981,0.5298,0.35939,0.53062,0.11039,0.10999,0.017157,0.0076296,25.562,105.47,131.07,1.165,2.5498e+05,2.5498e+05,-12,0.25,2.5498e+05,0.05505,0,0
80,1.4111e-05,-2.7289e-18,0,0.35897,0.53144,0.35939,0.53062,0.10959,0.10999,0.017157,0.0076606,25.72,104.79,130.54,1.165,2.5498e+05,2.5498e+05,-12,0.25,2.5498e+05,0.05138,0.01,0
80,1.4111e-05,-2.7289e-18,0,0.35981,0.5298,0.35939,0.53062,0.11039,0.10999,0.017157,0.0076296,25.562,105.47,131.07,1.165,2.5498e+05,2.5498e+05,-12,0.25,2.5498e+05,0.05505,0.01,0
80,1.4111e-05,2.7495e-18,0,0.35983,0.52978,0.36027,0.52893,0.1104,0.1108,0.016938,0.0076098,25.89,105.49,131.41,1.165,2.5465e+05,2.5465e+05,-12,0.25,2.5465e+05,0.05505,0,0
80,1.4111e-05,2.7495e-18,0,0.3607,0.52809,0.36027,0.52893,0.11121,0.1108,0.016938,0.007578,25.725,106.2,131.96,1.165,2.5465e+05,2.5465e+05,-12,0.25,2.5465e+05,0.05872,0,0
80,1.4111e-05,-1.2299e-33,0,0.35983,0.52978,0.36027,0.52893,0.1104,0.1108,0.016938,0.0076098,25.89,105.49,131.41,1.165,2.5465e+05,2.5465e+05,-12,0.25,2.5465e+05,0.05505,0.01,0
80,1.4111e-05,-1.2299e-33,0,0.3607,0.52809,0.36027,0.52893,0.11121,0.1108,0.016938,0.007578,25.725,106.2,131.96,1.165,2.5465e+05,2.5465e+05,-12,0.25,2.5465e+05,0.05872,0.01,0
80,1.4111e-05,-1.8444e-18,0,0.36072,0.52806,0.36117,0.52719,0.11122,0.11164,0.016715,0.0075577,26.066,106.21,132.31,1.165,2.5432e+05,2.5432e+05,-12,0.25,2.5432e+05,0.05872,0,0
