sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.24,0.7,0.3,False,0.00517081
0.08,0.2,0.0,1.0,False,0.999606
0.08,0.2,0.1,0.9,False,0.999424
0.08,0.2,0.2,0.8,False,0.998278
0.08,0.2,0.3,0.7,False,0.15075
0.08,0.2,0.4,0.6,False,0.0603882
0.08,0.2,0.5,0.5,False,0.027749
0.08,0.2,0.6,0.4,False,0.0124993
0.08,0.2,0.7,0.3,False,0.00517079
0.08,0.16,0.0,1.0,False,0.999606
0.08,0.16,0.1,0.9,False,0.999424
0.08,0.16,0.2,0.8,False,0.998277
0.08,0.16,0.3,0.7,False,0.295462
0.08,0.16,0.4,0.6,False,0.0603882
0.08,0.16,0.5,0.5,False,0.027749
0.08,0.16,0.6,0.4,False,0.0124993
0.08,0.16,0.7,0.3,False,0.00517078
0.08,0.12,0.0,1.0,False,0.999606
0.08,0.12,0.1,0.9,False,0.999424
0.08,0.12,0.2,0.8,False,0.998276
0.08,0.12,0.3,0.7,False,0.429935
0.08,0.12,0.4,0.6,False,0.0603882
0.08,0.12,0.5,0.5,False,0.027749
0.08,0.12,0.6,0.4,False,0.0124993
0.08,0.12,0.7,0.3,False,0.00517078
0.08,0.08,0.0,1.0,False,0.999606
0.08,0.08,0.1,0.9,False,0.999424
0.08,0.08,0.2,0.8,False,0.998276
0.08,0.08,0.3,0.7,False,0.142088
0.08,0.08,0.4,0.6,False,0.0603882
0.08,0.08,0.5,0.5,False,0.027749
0.08,0.08,0.6,0.4,False,0.0124993
0.08,0.08,0.7,0.3,False,0.00517077
0.08,0.04,0.0,1.0,False,0.999606
0.08,0.04,0.1,0.9,False,0.999424
0.08,0.04,0.2,0.8,False,0.998276
0.08,0.04,0.3,0.7,False,0.451773
0.08,0.04,0.4,0.6,False,0.0603882
0.08,0.04,0.5,0.5,False,0.027749
0.08,0.04,0.6,0.4,False,0.0124993
0.08,0.04,0.7,0.3,False,0.00517077
0.08,0.0,0.0,1.0,False,0.999606
0.08,0.0,0.1,0.9,False,0.999424
0.08,0.0,0.2,0.8,False,0.998276
0.08,0.0,0.3,0.7,False,0.429517
0.08,0.0,0.4,0.6,False,0.0603882
0.08,0.0,0.5,0.5,False,0.027749
0.08,0.0,0.6,0.4,False,0.0124993
0.08,0.0,0.7,0.3,False,0.00517075
0.12,0.84,0.0,1.0,False,0.999886
0.12,0.84,0.1,0.9,False,0.999698
0.12,0.84,0.2,0.8,False,0.998534
0.12,0.84,0.3,0.7,False,0.146871
0.12,0.84,0.4,0.6,False,0.0603923
0.12,0.84,0.5,0.5,False,0.0277569
0.12,0.84,0.6,0.4,False,0.0125128
0.12,0.84,0.7,0.3,False,0.00519212
0.12,0.8,0.0,1.0,False,0.999863
0.12,0.8,0.1,0.9,False,0.999673
0.12,0.8,0.2,0.8,False,0.998507
0.12,0.8,0.3,0.7,False,0.381065
0.12,0.8,0.4,0.6,False,0.0603909
0.12,0.8,0.5,0.5,False,0.0277541
0.12,0.8,0.6,0.4,False,0.0125083
0.12,0.8,0.7,0.3,False,0.00518564
0.12,0.76,0.0,1.0,False,0.999831
0.12,0.76,0.1,0.9,False,0.999638
0.12,0.76,0.2,0.8,False,0.998473
0.12,0.76,0.3,0.7,False,0.141352
0.12,0.76,0.4,0.6,False,0.0603902
