TimeStep,qw_inj,qw_prod,qo_prod
1.33e+06,0.000247907,1.76324e-25,0.000247907
1.34e+06,0.000247907,1.76324e-25,0.000247907
1.35e+06,0.000247907,1.76324e-25,0.000247907
1.36e+06,0.000247907,1.76324e-25,0.000247907
1.37e+06,0.000247907,1.76324e-25,0.000247907
1.38e+06,0.000247907,1.76324e-25,0.000247907
1.39e+06,0.000247907,1.76324e-25,0.000247907
1.4e+06,0.000247907,1.76324e-25,0.000247907
1.41e+06,0.000247907,1.76324e-25,0.000247907
1.42e+06,0.000247907,1.76324e-25,0.000247907
1.43e+06,0.000247907,1.76324e-25,0.000247907
1.44e+06,0.000247907,1.76324e-25,0.000247907
1.45e+06,0.000247907,1.76324e-25,0.000247907
1.46e+06,0.000247907,1.76324e-25,0.000247907
1.47e+06,0.000247907,1.76324e-25,0.000247907
1.48e+06,0.000247907,1.76324e-25,0.000247907
1.49e+06,0.000247907,1.76324e-25,0.000247907
1.5e+06,0.000247907,1.76324e-25,0.000247907
1.51e+06,0.000247907,1.76324e-25,0.000247907
1.52e+06,0.000247907,1.76324e-25,0.000247907
1.53e+06,0.000247907,1.76324e-25,0.000247907
1.54e+06,0.000247907,1.76324e-25,0.000247907
1.55e+06,0.000247907,1.76324e-25,0.000247907
1.56e+06,0.000247907,1.76324e-25,0.000247907
1.57e+06,0.000247907,1.76324e-25,0.000247907
1.58e+06,0.000247907,1.76324e-25,0.000247907
1.59e+06,0.000247907,1.76324e-25,0.000247907
1.6e+06,0.000247907,1.76324e-25,0.000247907
1.61e+06,0.000247907,1.76324e-25,0.000247907
1.62e+06,0.000247907,1.76324e-25,0.000247907
1.63e+06,0.000247907,1.76324e-25,0.000247907
1.64e+06,0.000247907,1.76324e-25,0.000247907
1.65e+06,0.000247907,1.76324e-25,0.000247907
1.66e+06,0.000247907,1.76324e-25,0.000247907
1.67e+06,0.000247907,1.76324e-25,0.000247907
1.68e+06,0.000247907,1.76324e-25,0.000247907
1.69e+06,0.000247907,1.76324e-25,0.000247907
1.7e+06,0.000247907,1.76324e-25,0.000247907
1.71e+06,0.000247907,1.76324e-25,0.000247907
1.72e+06,0.000247907,1.76324e-25,0.000247907
